kingdom	supergroup	division	class	order	family	genus	species	n
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-1	MAST-1A	MAST-1A_X	MAST-1A_X_sp.	183
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-1	MAST-1B	MAST-1B_X	MAST-1B_X_sp.	72
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-1	MAST-1C	MAST-1C_X	MAST-1C_X_sp.	168
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-1	MAST-1D	MAST-1D_X	MAST-1D_X_sp.	24
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-10	MAST-10_X	MAST-10_XX	MAST-10_XX_sp.	17
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-11	MAST-11_X	MAST-11_XX	MAST-11_XX_sp.	9
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-12	MAST-12_X	MAST-12_XX	MAST-12_XX_sp.	5
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-12	MAST-12A	MAST-12A_X	MAST-12A_X_sp.	73
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-12	MAST-12B	MAST-12B_X	MAST-12B_X_sp.	15
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-12	MAST-12C	MAST-12C_X	MAST-12C_X_sp.	17
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-12	MAST-12D	MAST-12D_X	MAST-12D_X_sp.	3
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-12	MAST-12E	MAST-12E_X	MAST-12E_X_sp.	3
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-13	MAST-13_X	MAST-13_XX	MAST-13_XX_sp.	7
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-14	MAST-14_X	MAST-14_XX	MAST-14_XX_sp.	1
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-16	MAST-16_X	MAST-16_XX	MAST-16_XX_sp.	4
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-17	MAST-17_X	MAST-17_XX	MAST-17_XX_sp.	2
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-2	MAST-2_X	MAST-2_XX	MAST-2_XX_sp.	4
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-2	MAST-2A	MAST-2A_X	MAST-2A_X_sp.	15
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-2	MAST-2B	MAST-2B_X	MAST-2B_X_sp.	9
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-2	MAST-2C	MAST-2C_X	MAST-2C_X_sp.	13
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-2	MAST-2D	MAST-2D_X	MAST-2D_X_sp.	23
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-20	MAST-20_X	MAST-20_XX	MAST-20_XX_sp.	42
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-21	MAST-21_X	MAST-21_XX	MAST-21_XX_sp.	27
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-22	MAST-22A	MAST-22A_X	MAST-22A_X_sp.	130
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-22	MAST-22B	MAST-22B_X	MAST-22B_X_sp.	3
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-22	MAST-22C	MAST-22C_X	MAST-22C_X_sp.	4
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-22	MAST-22D	MAST-22D_X	MAST-22D_X_sp.	6
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-23	MAST-23_X	MAST-23_XX	MAST-23_XX_sp.	7
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-24	MAST-24_X	MAST-24_XX	MAST-24_XX_sp.	3
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-25	MAST-25_X	MAST-25_XX	MAST-25_XX_sp.	2
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-3	MAST-3_X	MAST-3_XX	MAST-3_XX_sp.	4
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-3	MAST-3_X	MAST-3_XX	MAST-3_XXX_sp.	1
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-3	MAST-3A	MAST-3A_X	MAST-3A_X_sp.	91
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-3	MAST-3B	MAST-3B_X	MAST-3B_X_sp.	11
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-3	MAST-3C	MAST-3C_X	MAST-3C_X_sp.	60
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-3	MAST-3D	MAST-3D_X	MAST-3D_X_sp.	28
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-3	MAST-3E	MAST-3E_X	MAST-3E_X_sp.	53
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-3	MAST-3F	MAST-3F_X	MAST-3F_X_sp.	46
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-3	MAST-3G	MAST-3G_X	MAST-3G_X_sp.	4
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-3	MAST-3H	MAST-3H_X	MAST-3H_X_sp.	4
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-3	MAST-3I	MAST-3I_X	MAST-3I_X_sp.	51
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-3	MAST-3J	MAST-3J_X	MAST-3J_X_sp.	30
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-3	MAST-3K	MAST-3K_X	MAST-3K_X_sp.	8
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-3	MAST-3L	MAST-3L_X	MAST-3L_X_sp.	17
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-4	MAST-4A	MAST-4A_X	MAST-4A_X_sp.	142
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-4	MAST-4B	MAST-4B_X	MAST-4B_X_sp.	34
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-4	MAST-4C	MAST-4C_X	MAST-4C_X_sp.	21
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-4	MAST-4D	MAST-4D_X	MAST-4D_X_sp.	62
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-4	MAST-4E	MAST-4E_X	MAST-4E_X_sp.	103
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-4	MAST-4F	MAST-4F_X	MAST-4F_X_sp.	6
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-6	MAST-6_X	MAST-6_XX	MAST-6_XX_sp.	10
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-7	MAST-7_X	MAST-7_XX	MAST-7_XX_sp.	1
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-7	MAST-7A	MAST-7A_X	MAST-7A_X_sp.	163
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-7	MAST-7B	MAST-7B_X	MAST-7B_X_sp.	38
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-7	MAST-7C	MAST-7C_X	MAST-7C_X_sp.	10
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-7	MAST-7D	MAST-7D_X	MAST-7D_X_sp.	16
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-7	MAST-7E	MAST-7E_X	MAST-7E_X_sp.	7
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-8	MAST-8_X	MAST-8_XX	MAST-8_XX_sp.	2
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-8	MAST-8A	MAST-8A_X	MAST-8A_X_sp.	46
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-8	MAST-8B	MAST-8B_X	MAST-8B_X_sp.	7
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-8	MAST-8C	MAST-8C_X	MAST-8C_X_sp.	5
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-8	MAST-8D	MAST-8D_X	MAST-8D_X_sp.	4
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-8	MAST-8E	MAST-8E_X	MAST-8E_X_sp.	2
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-8	MAST-8F	MAST-8F_X	MAST-8F_X_sp.	2
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-9	MAST-9_X	MAST-9_XX	MAST-9_XX_sp.	2
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-9	MAST-9A	MAST-9A_X	MAST-9A_X_sp.	26
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-9	MAST-9B	MAST-9B_X	MAST-9B_X_sp.	8
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-9	MAST-9C	MAST-9C_X	MAST-9C_X_sp.	3
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST-9	MAST-9D	MAST-9D_X	MAST-9D_X_sp.	1
Eukaryota	Stramenopiles	Stramenopiles_X	MAST	MAST_X	MAST_XX	MAST_XXX	MAST_XXX_sp.	1
