kingdom	supergroup	division	class	order	family	genus	species	n
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Anoecales	Caecitellaceae	Caecitellaceae_X	Caecitellaceae_X_sp.	3
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Anoecales	Caecitellaceae	Caecitellus	Caecitellus_paraparvulus	5
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Anoecales	Caecitellaceae	Caecitellus	Caecitellus_parvulus	11
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Anoecales	Caecitellaceae	Caecitellus	Caecitellus_pseudoparvulus	6
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Anoecales	Caecitellaceae	Caecitellus	Caecitellus_sp.	31
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Anoecales	Cafeteriaceae	Cafeteria	Cafeteria_minima	2
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Anoecales	Cafeteriaceae	Cafeteria	Cafeteria_roenbergensis	13
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Anoecales	Cafeteriaceae	Cafeteria	Cafeteria_sp.	10
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Anoecales	Cafeteriaceae	Cafeteriaceae_X	Cafeteriaceae_X_sp.	2
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Anoecales	Cafeteriaceae	Pseudobodo	Pseudobodo_sp.	1
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Anoecales	Cafeteriaceae	Pseudobodo	Pseudobodo_tremulans	3
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Anoecales	Symbiomonaceae	Symbiomonas	Symbiomonas_scintillans	2
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Bicoecales	Bicoecaceae	Bicoecaceae_X	Bicoecaceae_X_sp.	23
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Bicoecales	Bicoecaceae	Bicosoeca	Bicosoeca_petiolata	1
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Bicoecales	Bicoecaceae	Bicosoeca	Bicosoeca_sp.	6
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Bicoecales	Bicoecaceae	Bicosoeca	Bicosoeca_vacillans	1
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Bicoecales	Bicoecaceae	Halocafeteria	Halocafeteria_seosinensis	2
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Bicoecales	Bicoecaceae	Halocafeteria	Halocafeteria_sp.	1
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Bicoecea_X	Bicoecea_XX	Bicoecea_XXX	Bicoecea_XXX_sp.	368
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Borokales	Borokaceae	Bicosoecida	Bicosoecida_sp.	5
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Borokales	Borokaceae	Borokaceae_X	Borokaceae_X_sp.	24
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Adriamonas	Adriamonas_peritocrescens	1
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Nerada	Nerada_mexicana	1
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Paramonas	Paramonas_globosa	1
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Pseudodendromonadales_XX	Pseudodendromonadales_XX_sp.	65
Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Siluania	Siluania_monomastiga	1
