kingdom	supergroup	division	class	order	family	genus	species	n
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Acanthocystida	Acanthocystida_X	Acanthocystida_XX	Acanthocystida_XX_sp.	1
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Acanthocystida	Acanthocystidae	Acanthocystis	Acanthocystis_nichollsi	1
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Acanthocystida	Acanthocystidae	Acanthocystis	Acanthocystis_sp.	14
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Acanthocystida	Acanthocystidae	Acanthocystis	Acanthocystis_spinifera	1
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Acanthocystida	Raphidiophryidae	Polyplacocystis	Polyplacocystis_symmetrica	1
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Centroheliozoa_XX	Centroheliozoa_XXX	Centroheliozoa_XXXX	Centroheliozoa_XXXX_sp.	70
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Microhelida	Microhelida_X	Microhelida_XX	Microhelida_XX_sp.	3
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Choanocystidae	Choanocystis	Choanocystis_sp.	4
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Heterophryidae	Heterophrys	Heterophrys_marina	1
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Heterophryidae	Heterophrys	Heterophrys_sp.	1
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Heterophryidae	Sphaerastrum	Sphaerastrum_fockii	1
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Oxnerellidae	Oxnerella	Oxnerella_micra	1
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystida_X	Pterocystida_XX	Pterocystida_XX_sp.	24
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystidae	Chlamydaster	Chlamydaster_sterni	2
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystidae	Pterocystidae_X	Pterocystidae_X_sp.	2
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystidae	Pterocystis	Pterocystis_foliacea	4
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystidae	Pterocystis	Pterocystis_sp.	10
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystidae	Pterocystis	Pterocystis_tropica	3
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystidae	Raineriophrys	Raineriophrys_erinaceoides	1
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystidae	Raineriophrys	Raineriophrys_sp.	1
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystidae	Raphidiophrys	Raphidiophrys_ambigua	2
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystidae	Raphidiophrys	Raphidiophrys_contractilis	1
Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystidae	Raphidiophrys	Raphidiophrys_sp.	2
