kingdom	supergroup	division	class	order	family	genus	species	n
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chaetopeltidales	Chaetopeltidaceae	Planophila	Planophila_laetevirens	1
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chaetopeltidales	Chaetopeltidaceae	Planophila	Planophila_sp.	8
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chaetopeltidales	Chaetopeltidales_X	Chaetopeltis	Chaetopeltis_orbicularis	2
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chaetopeltidales	Chaetopeltidales_X	Floydiella	Floydiella_terrestris	2
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chaetopeltidales	Chaetopeltidales_X	Hormotilopsis	Hormotilopsis_gelatinosa	1
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chaetopeltidales	Chaetopeltidales_X	Hormotilopsis	Hormotilopsis_tetravacuolaris	1
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chaetopeltidales	Chaetopeltidales_X	Pseudulvella	Pseudulvella_americana	1
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chaetopeltidales	Chaetopeltidales_X	Pseudulvella	Pseudulvella_consociata	1
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophorales_X	Aphanochaete	Aphanochaete_confervicola	1
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophorales_X	Aphanochaete	Aphanochaete_elegans	1
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophorales_X	Aphanochaete	Aphanochaete_magna	1
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophorales_X	Aphanochaete	Aphanochaete_repens	2
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophorales_X	Aphanochaete	Aphanochaete_sp.	5
