kingdom	supergroup	division	class	order	family	genus	species	n
Eukaryota	Hacrobia	Haptophyta	Haptophyta_Clade_HAP1	Haptophyta_Clade_HAP1_X	Haptophyta_Clade_HAP1_XX	Haptophyta_Clade_HAP1_XXX	Haptophyta_Clade_HAP1_XXX_sp.	2
Eukaryota	Hacrobia	Haptophyta	Haptophyta_Clade_HAP2	Haptophyta_Clade_HAP2_X	Haptophyta_Clade_HAP2_XX	Haptophyta_Clade_HAP2_XXX	Haptophyta_Clade_HAP2_XXX_sp.	5
Eukaryota	Hacrobia	Haptophyta	Haptophyta_Clade_HAP3	Haptophyta_Clade_HAP3_X	Haptophyta_Clade_HAP3_XX	Haptophyta_Clade_HAP3_XXX	Haptophyta_Clade_HAP3_XXX_sp.	10
Eukaryota	Hacrobia	Haptophyta	Haptophyta_Clade_HAP4	Haptophyta_Clade_HAP4_X	Haptophyta_Clade_HAP4_XX	Haptophyta_Clade_HAP4_XXX	Haptophyta_Clade_HAP4_XXX_sp.	6
Eukaryota	Hacrobia	Haptophyta	Haptophyta_Clade_HAP5	Haptophyta_Clade_HAP5_X	Haptophyta_Clade_HAP5_XX	Haptophyta_Clade_HAP5_XXX	Haptophyta_Clade_HAP5_XXX_sp.	2
Eukaryota	Hacrobia	Haptophyta	Haptophyta_X	Haptophyta_XX	Haptophyta_XXX	Haptophyta_XXXX	Haptophyta_XXXX_sp.	5
Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Diacronema	Diacronema_ennorea	1
Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Diacronema	Diacronema_lutheri	13
Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Diacronema	Diacronema_noctivaga	3
Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Diacronema	Diacronema_sp.	17
Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Diacronema	Diacronema_virescens	2
Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Diacronema	Diacronema_viridis	2
Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Diacronema	Diacronema_vlkianum	4
Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Exanthemachrysis	Exanthemachrysis_cf_gayraliae	2
Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Exanthemachrysis	Exanthemachrysis_gayraliae	7
Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Exanthemachrysis	Exanthemachrysis_sp.	5
Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Pavlova	Pavlova_granifera	1
Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Pavlova	Pavlova_gyrans	12
Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Pavlova	Pavlova_pinguis	11
Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Pavlova	Pavlova_sp.	16
Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Pavlovaceae_X	Pavlovaceae_X_sp.	1
Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Rebecca	Rebecca_salina	4
Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Rebecca	Rebecca_sp.	1
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Calcihaptophycidae	Calcihaptophycidae_X	Calcihaptophycidae_XX	Calcihaptophycidae_XX_sp.	3
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Calcihaptophycidae	Calcihaptophycidae_X	Gladiolithus	Gladiolithus_sp.	2
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Calcihaptophycidae	Chrysoculteraceae	Chrysoculter	Chrysoculter_rhomboideus	1
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Calcihaptophycidae	Chrysoculteraceae	Chrysoculter	Chrysoculter_sp.	1
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Calcihaptophycidae	Rhabdosphaeraceae	Algirosphaera	Algirosphaera_robusta	1
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Calcihaptophycidae	Rhabdosphaeraceae	Algirosphaera	Algirosphaera_sp.	1
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Calcihaptophycidae	Watznaueriaceae	Tergestiella	Tergestiellaadriatica	2
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Coccolithales	Calcidiscaceae	Calcidiscus	Calcidiscus_leptoporus	2
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Coccolithales	Calcidiscaceae	Calcidiscus	Calcidiscus_quadriperforatus	1
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Coccolithales	Calcidiscaceae	Oolithus	Oolithotus_fragilis	1
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Coccolithales	Calcidiscaceae	Umbilicosphaera	Umbilicosphaera_hulburtiana	1
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Coccolithales	Calcidiscaceae	Umbilicosphaera	Umbilicosphaera_sibogae	1
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Coccolithales	Calcidiscaceae	Umbilicosphaera	Umbilicosphaera_sibogae_var_foliosa	1
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Coccolithales	Calyptrosphaeraceae	Calyptrosphaera	Calyptrosphaera_radiata	1
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Coccolithales	Calyptrosphaeraceae	Calyptrosphaera	Calyptrosphaera_sp.	3
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Coccolithales	Calyptrosphaeraceae	Calyptrosphaera	Calyptrosphaera_sphaeroidea	1
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Coccolithales	Calyptrosphaeraceae	Helladosphaera	Helladosphaera_sp.	2
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Coccolithales	Chrysotilaceae	Chrysotila	Chrysotila_carterae	3
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Coccolithales	Chrysotilaceae	Chrysotila	Chrysotila_dentata	2
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Coccolithales	Chrysotilaceae	Chrysotila	Chrysotila_elongata	2
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Coccolithales	Chrysotilaceae	Chrysotila	Chrysotila_gayraliae	1
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Coccolithales	Chrysotilaceae	Chrysotila	Chrysotila_placolithoides	1
