kingdom	supergroup	division	class	order	family	genus	species	n
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Acauda	Acauda_hoffmani	1
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Antonactinomyxon	Antonactinomyxon_sp.	1
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Auerbachia	Auerbachia_caranxi	1
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Auerbachia	Auerbachia_chaetodoni	1
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Auerbachia	Auerbachia_pulchra	1
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Auerbachia	Auerbachia_scomberoidi	1
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Aurantiactinomyxon	Aurantiactinomyxon_mississippiensis	1
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Aurantiactinomyxon	Aurantiactinomyxon_pavinsis	1
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Aurantiactinomyxon	Aurantiactinomyxon_sp.	9
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Bipteria	Bipteria_formosa	4
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Bivalvulida	sp._Latyspora	1
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Buddenbrockia	Buddenbrockia_allmani	1
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Buddenbrockia	Buddenbrockia_plumatellae	22
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Buddenbrockia	Buddenbrockia_sp.	13
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Ceratomyxa	Ceratomyxa_anko	1
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Ceratomyxa	Ceratomyxa_archamiae	1
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Ceratomyxa	Ceratomyxa_atkinsoni	1
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Ceratomyxa	Ceratomyxa_auerbachi	5
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Ceratomyxa	Ceratomyxa_barnesi	1
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Ceratomyxa	Ceratomyxa_bartholomewae	1
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Ceratomyxa	Ceratomyxa_brayi	2
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Ceratomyxa	Ceratomyxa_bryanti	1
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Ceratomyxa	Ceratomyxa_burgerae	1
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Ceratomyxa	Ceratomyxa_buri	1
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Ceratomyxa	Ceratomyxa_capricornensis	2
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Ceratomyxa	Ceratomyxa_cardinalis	10
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Ceratomyxa	Ceratomyxa_cheilinae	1
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Ceratomyxa	Ceratomyxa_choerodonae	2
Eukaryota	Opisthokonta	Metazoa	Myxozoa	Myxozoa_X	Myxosporea	Ceratomyxa	Ceratomyxa_cribbi	1
