pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
FJ549370.1.1796_U	FJ549370	1	1796	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_sp.			1	2009-01-20 00:00:00	PLN	Heterocapsa sp. HE04 18S ribosomal RNA gene, complete sequence.							homogenized jellyfish		Cotylorhiza tuberculata			Spain			PCR_primers=fwd_name: Euk A, rev_name: Euk B		Skovgaard,A.	Unpublished							marine pelagic biome	symbiont	Cotylorhiza tuberculata											
AF274265.1.1753_U	AF274265	1	1753	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_niei			1	2001-09-10 00:00:00	PLN	Heterocapsa niei strain CCMP 447 small subunit ribosomal RNA gene,			CCMP 447														Saldarriaga,J.F., Taylor,F.J., Keeling,P.J. and Cavalier-Smith,T.	J. Mol. Evol. 53 (3), 204-213 (2001)							marine pelagic biome					culture								
EF526991.1.1566_U	EF526991	1	1566	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_nei/rotundata					ENV	Uncultured marine eukaryote clone SIF_2A4 18S ribosomal RNA gene,					SIF_2A4		marine environment																							environmental								
JX661033.1.963_U	JX661033	1	963	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_sp.			1	2012-11-11 00:00:00	PLN	Heterocapsa sp. JD-2012 isolate PEC14 18S ribosomal RNA gene,						PEC14	"endosymbiotic microalgae microdissected from Acantharia"""		Acanthochiasma sp.	2011		France	43.68 N 7.31 E				Decelle,J., Probert,I., Bittner,L., Desdevises,Y., Colin,S., de	Proc. Natl. Acad. Sci. U.S.A. 109 (44), 18000-18005 (2012)							marine pelagic biome	symbiont	Acanthochiasma sp.			isolate	single cell isolation		43.68	7.31				
EU500036.1.817_U	EU500036	1	817	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_nei/rotundata					ENV	Uncultured eukaryote clone dhot1a11 18S ribosomal RNA gene, partial					dhot1a11		ocean surface waters																							environmental								
EF492494.1.1792_U	EF492494	1	1792	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_sp.			1	2008-03-31 00:00:00	PLN	Gymnodinium sp. UTEX1653 18S small subunit ribosomal RNA gene,																	Leblond,J.D., Logares,R., Rengefors,K. and Evens,T.J.	Unpublished							marine pelagic biome													
DQ310192.1.1568_U	DQ310192	1	1568	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_nei/rotundata					ENV	Uncultured marine eukaryote clone FV18_2D11 small subunit ribosomal					FV18_2D11		"super-sulfidic anoxic fjord water samples"""					Norway: Framvaren																		environmental								
HQ865026.1.885_U	HQ865026	1	885	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_pygmaea					ENV	Uncultured eukaryote clone SGPX615 18S ribosomal RNA gene, partial					SGPX615		"Saanich Inlet, oxygenated marine water column, 10 m depth"""			18-Feb-2006		Canada: Vancouver																		environmental								
HQ864935.1.873_U	HQ864935	1	873	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_pygmaea					ENV	Uncultured eukaryote clone SGPX510 18S ribosomal RNA gene, partial					SGPX510		"Saanich Inlet, oxygenated marine water column, 10 m depth"""			18-Feb-2006		Canada: Vancouver																		environmental								
HQ865166.1.885_U	HQ865166	1	885	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_pygmaea					ENV	Uncultured eukaryote clone SGPX398 18S ribosomal RNA gene, partial					SGPX398		"Saanich Inlet, oxygenated marine water column, 10 m depth"""			18-Feb-2006		Canada: Vancouver																		environmental								
EF527089.1.1309_U	EF527089	1	1309	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_nei/rotundata					ENV	Uncultured marine eukaryote clone SIF_4G1 18S ribosomal RNA gene,					SIF_4G1		marine environment																							environmental								
HQ865006.1.887_U	HQ865006	1	887	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_pygmaea					ENV	Uncultured eukaryote clone SGPX590 18S ribosomal RNA gene, partial					SGPX590		"Saanich Inlet, oxygenated marine water column, 10 m depth"""			18-Feb-2006		Canada: Vancouver																		environmental								
HQ865623.1.887_U	HQ865623	1	887	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_nei/rotundata					ENV	Uncultured eukaryote clone SGSF893 18S ribosomal RNA gene, partial					SGSF893		"Saanich Inlet, micro-oxic marine water column, 120 m depth"""			18-Feb-2006		Canada: Vancouver																		environmental								
JN098193.1.1537_U	JN098193	1	1537	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_pygmaea					ENV	Uncultured dinoflagellate clone 19LI08 small subunit ribosomal RNA					19LI08		Northport Harbor, Long Island Sound																							environmental								
FJ914415.1.1528_U	FJ914415	1	1528	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_nei/rotundata					ENV	Uncultured marine dinoflagellate clone B13 18S ribosomal RNA gene,					B13		"ocean off the coast of southeastern North Carolina"""					USA: North Carolina																		environmental								
HQ865177.1.883_U	HQ865177	1	883	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_pygmaea					ENV	Uncultured eukaryote clone SGPX409 18S ribosomal RNA gene, partial					SGPX409		"Saanich Inlet, oxygenated marine water column, 10 m depth"""			18-Feb-2006		Canada: Vancouver																		environmental								
EF527124.1.1758_U	EF527124	1	1758	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_nei/rotundata					ENV	Uncultured marine eukaryote clone SA2_1E10 18S ribosomal RNA gene,					SA2_1E10		marine environment																							environmental								
FJ914452.1.1526_U	FJ914452	1	1526	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_nei/rotundata					ENV	Uncultured marine dinoflagellate clone S2 18S ribosomal RNA gene,					S2		"ocean off the coast of southeastern North Carolina"""					USA: North Carolina																		environmental								
AY664878.1.1755_U	AY664878	1	1755	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_nei/rotundata					ENV	Uncultured eukaryote clone SCM38C48 18S ribosomal RNA gene, partial					SCM38C48		"deep chlorophyll maximum in Sargasso Sea mesoscale eddies"""								collected October 2001															environmental								
EU418968.1.1590_U	EU418968	1	1590	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_nei/rotundata					ENV	Uncultured marine eukaryote clone GD1590bp14 18S ribosomal RNA					GD1590bp14		surface water			Aug-2007		South Korea: Gaedo																		environmental								
HQ865020.1.885_U	HQ865020	1	885	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_pygmaea					ENV	Uncultured eukaryote clone SGPX609 18S ribosomal RNA gene, partial					SGPX609		"Saanich Inlet, oxygenated marine water column, 10 m depth"""			18-Feb-2006		Canada: Vancouver																		environmental								
