pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
HQ912562.1.1747_U	HQ912562	1	1747	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Planktoniella	Planktoniella_sol					PLN	Planktoniella sol strain CCMP1608 18S small subunit ribosomal RNA			CCMP1608																											culture								
EU371234.1.1803_U	EU371234	1	1803	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_hispida					ENV	Uncultured marine eukaryote clone NPK55_P17 18S ribosomal RNA gene					NPK55_P17		20m sea water sample from Arctic																							environmental								
DQ514886.1.1754_U	DQ514886	1	1754	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_nordenskioeldii					PLN	Thalassiosira nordenskioeldii strain FB02-19 18S small subunit			FB02-19																											culture								
EU371257.1.1808_U	EU371257	1	1808	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_hispida					ENV	Uncultured marine eukaryote clone NPK57_17 18S ribosomal RNA gene					NPK57_17		30m sea water sample from Arctic																							environmental								
KC771159.1.1801_U	KC771159	1	1801	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Porosira	Porosira_sp.					ENV	Uncultured marine eukaryote clone I-8-MC794-OTU-32 18S ribosomal					I-8-MC794-OTU-32		"ice algae sample from Bering Sea; U.S. ice breaker Polar Sea cruise"""			28-mars-10			63.03 N 173.42 W	E. Durbin																environmental			63.03	-173.42				
JQ956219.1.965_U	JQ956219	1	965	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_gravida					ENV	Uncultured eukaryote clone AN0658_19L7B 18S ribosomal RNA gene,					AN0658_19L7B		"water sample taken from 33 m depth at station 115 from ArcticNet cruise, Baffin Bay"""			15-sept.-06		Canada: Arctic region	76.32 N 71.17 W		PCR_primers=fwd_name: nsf4/18, rev_name: eukr															environmental			76.32	-71.17				
DQ514874.1.1773_U	DQ514874	1	1773	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_antarctica					PLN	Thalassiosira antarctica strain CCMP982 18S small subunit ribosomal			CCMP982																											culture								
FN598276.1.1140_U	FN598276	1	1140	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_anguste-lineata					ENV	Uncultured Coscinodiscophyceae partial 18S rRNA gene, clone					BIO5_D11		"deep water, 0.2-3um, BIOSOPE,UPX3,CTD224, depth 900m"""			11-Dec-2004		Pacific Ocean:South Pacific	34.69 S 72.49 W	M. Viprey																environmental			-34.69	-72.49				
GU385519.1.1708_U	GU385519	1	1708	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_guillardii					ENV	Uncultured marine eukaryote clone ME_Euk_DBT110 18S small subunit					ME_Euk_DBT110		"seaweed (Ascophyllum nodosum) wrap of live bait from Maine"""					USA																		environmental								
EU371252.1.1803_U	EU371252	1	1803	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_hispida					ENV	Uncultured marine eukaryote clone NPK55_T62 18S ribosomal RNA gene					NPK55_T62		20m sea water sample from Arctic																							environmental								
EU371220.1.1803_U	EU371220	1	1803	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_hispida					ENV	Uncultured marine eukaryote clone NPK55_58 18S ribosomal RNA gene					NPK55_58		20m sea water sample from Arctic																							environmental								
EU371238.1.1803_U	EU371238	1	1803	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_hispida					ENV	Uncultured marine eukaryote clone NPK55_7 18S ribosomal RNA gene					NPK55_7		20m sea water sample from Arctic																							environmental								
AJ810857.1.1807_U	AJ810857	1	1807	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_concaviuscula					PLN	Thalassiosira concaviuscula partial 18S rRNA gene, type strain			type strain: MHtc1																											culture								
FJ590770.1.1751_U	FJ590770	1	1751	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Minidiscus	Minidiscus_sp.					PLN	Minidiscus sp. CCL-2009a 18S ribosomal RNA gene, partial sequence;																																						
EF526781.1.1329_U	EF526781	1	1329	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Cyclotella	Cyclotella_sp.					ENV	Uncultured marine eukaryote clone NA1_4B10 18S ribosomal RNA gene,					NA1_4B10		marine environment																							environmental								
EU371255.1.1808_U	EU371255	1	1808	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_hispida					ENV	Uncultured marine eukaryote clone NPK57_91 18S ribosomal RNA gene					NPK57_91		30m sea water sample from Arctic																							environmental								
JQ955990.1.981_U	JQ955990	1	981	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_sp.					ENV	Uncultured eukaryote clone AN0678L10 18S ribosomal RNA gene,					AN0678L10		"water sample taken from 80 m depth at station 109 from ArcticNet cruise, Baffin Bay"""			17-sept.-06		Canada: Arctic region	76.25 N 74.17 W		PCR_primers=fwd_name: nsf4/18, rev_name: eukr															environmental			76.25	-74.17				
DQ457009.1.1744_U	DQ457009	1	1744	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Stephanodiscus	Stephanodiscus_niagarae					PLN	Stephanodiscus niagarae 18S ribosomal RNA gene, partial sequence.							Okamanpeedan Lake																															
HM991689.1.1762_U	HM991689	1	1762	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_concaviuscula					PLN	Thalassiosira concaviuscula 18S ribosomal RNA gene, partial																																						
HQ912555.1.1677_U	HQ912555	1	1677	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_pseudonana					PLN	Thalassiosira pseudonana strain CCMP1335 18S small subunit			CCMP1335																											culture								
DQ514913.1.1757_U	DQ514913	1	1757	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Cyclostephanos	Cyclostephanos_sp.					PLN	Cyclostephanos sp. WTC18 18S small subunit ribosomal RNA gene,			WTC18																											culture								
HM991697.1.1791_U	HM991697	1	1791	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_pacifica					PLN	Thalassiosira pacifica 18S ribosomal RNA gene, partial sequence.																																						
GU385587.1.1707_U	GU385587	1	1707	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_guillardii					ENV	Uncultured marine eukaryote clone ME_Euk_DBT83 18S small subunit					ME_Euk_DBT83		"seaweed (Ascophyllum nodosum) wrap of live bait from Maine"""					USA																		environmental								
JQ217341.1.1661_U	JQ217341	1	1661	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Cyclotella	Cyclotella_choctawhatcheeana					PLN	Cyclotella choctawhatcheeana 18S ribosomal RNA gene, partial																																						
EU371178.1.1781_U	EU371178	1	1781	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_hispida					ENV	Uncultured marine eukaryote clone NPK2_133 18S ribosomal RNA gene					NPK2_133		2m sea water sample from Arctic																							environmental								
DQ093363.1.1805_U	DQ093363	1	1805	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Minidiscus	Minidiscus_trioculatus					PLN	Minidiscus trioculatus strain CCMP 495 18S small subunit ribosomal			CCMP 495																											culture								
DQ514857.1.1752_U	DQ514857	1	1752	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Cyclotella	Cyclotella_sp.					PLN	Cyclotella sp. MC01 18S small subunit ribosomal RNA gene, partial			MC01																											culture								
JQ956059.1.950_U	JQ956059	1	950	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_nordenskioeldii					ENV	Uncultured eukaryote clone CB432L07 18S ribosomal RNA gene, partial					CB432L07		"water sample taken from 65 m depth at station MK-1 from C3O cruise, Beaufort Sea"""			02-Aug-2007		Canada: Arctic region	70.23 N 140.00 W		PCR_primers=fwd_name: nsf4/18, rev_name: eukr															environmental			70.23	-140				
DQ514855.1.1715_U	DQ514855	1	1715	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Cyclotella	Cyclotella_sp.					PLN	Cyclotella sp. L1844 18S small subunit ribosomal RNA gene, partial			L1844																											culture								
HM135059.1.1739_U	HM135059	1	1739	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Stephanodiscus	Stephanodiscus_sp.					ENV	Uncultured stramenopile clone STFeb_148 18S ribosomal RNA gene,					STFeb_148		freshwater lake																							environmental								
