pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
AM501993.1.1729_U	AM501993	1	1729	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Gomphonema	Gomphonema_productum			1		PLN	Gomphonema productum 18S rRNA gene, strain AT-160Gel27.			AT-160Gel27									Germany																		culture								
HQ680570.1.1721_U	HQ680570	1	1721	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_salina																																												
HQ912580.1.1726_U	HQ912580	1	1726	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Caloneis	Caloneis_lewisii					PLN	Caloneis lewisii strain UTEX FD54 18S small subunit ribosomal RNA			UTEX FD54																											culture								
HQ680557.1.1668_U	HQ680557	1	1668	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_laevis																																												
HQ655885.1.1724_U	HQ655885	1	1724	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Reimeria	Reimeria_sinuata																																												
AB473923.1.1773_U	AB473923	1	1773	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_sp.					ENV	Uncultured Gomphonema sp. gene for 18S rRNA, partial sequence,					JH_03_DIA		biofilm on stones			2005		Switzerland: river Toess		Reinhard Bachofen and Ferdinand Schanz																environmental								
HQ680483.1.1744_U	HQ680483	1	1744	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_amphicephala																																												
HQ912595.1.1725_U	HQ912595	1	1725	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Gomphonema	Gomphonema_parvulum					PLN	Gomphonema parvulum strain UTEX FD241 18S small subunit ribosomal			UTEX FD241																											culture								
AB085833.1.1650_U	AB085833	1	1650	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Gomphonema	Gomphonema_pseudaugur					PLN	Gomphonema pseudaugur gene for 18S ribosomal RNA, partial sequence.			M-0130									Japan:Tokyo, Tama River, Fuchu, Koremasa																		culture								
HQ655884.1.1721_U	HQ655884	1	1721	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_helvetica																																												
HQ680519.1.1777_U	HQ680519	1	1777	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_capitata																																												
HQ912597.1.1724_U	HQ912597	1	1724	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Diploneis	Diploneis_subovalis					PLN	Diploneis subovalis strain UTEX FD282 18S small subunit ribosomal			UTEX FD282																											culture								
HQ680502.1.1745_U	HQ680502	1	1745	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_similis																																												
HQ680497.1.1815_U	HQ680497	1	1815	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_muelleri																																												
KC736630.1.1685_U	KC736630	1	1685	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Mayamaea	Mayamaea_permitis					PLN	Mayamaea permitis clone TCC540 18S ribosomal RNA gene, partial					TCC540		river			29-Apr-2009		France: La Reunion																		environmental								
HQ680574.1.1744_U	HQ680574	1	1744	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_zebra																																												
AM502014.1.1729_U	AM502014	1	1729	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Placoneis	Placoneis_sp.			1		PLN	Placoneis sp. AT-220.09 18S rRNA gene, strain AT-220.09.			AT-220.09									Germany																		culture								
HQ680511.1.1789_U	HQ680511	1	1789	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_baicalensis																																												
AM502018.1.1721_U	AM502018	1	1721	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_affinis			1		PLN	Cymbella affinis 18S rRNA gene, strain AT-213.04.			AT-213.04									Germany																		culture								
JN698949.1.1067_U	JN698949	1	1067	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Gomphoneis	Gomphoneis_minuta					PLN	Gomphoneis minuta var. cassieae isolate NZ 40B.c14 18S ribosomal						NZ 40B.c14						New Zealand: South Island, Buller River																		isolate								
HQ680512.1.1789_U	HQ680512	1	1789	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_bicapitata																																												
HQ680541.1.1787_U	HQ680541	1	1787	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_gastroides																																												
HQ680562.1.1735_U	HQ680562	1	1735	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_olivacea																																												
HQ680513.1.1773_U	HQ680513	1	1773	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_bipartita																																												
HQ680505.1.1718_U	HQ680505	1	1718	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_acuta																																												
AJ535156.1.1768_U	AJ535156	1	1768	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_cymbiformis			1		PLN	Cymbella cymbiformis 18S rRNA gene, strain L254.			L254		p491							USA																		culture								
AM502017.1.1727_U	AM502017	1	1727	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_proxima			1		PLN	Cymbella proxima 18S rRNA gene, strain AT-210Gel13.			AT-210Gel13									Germany																		culture								
HQ680556.1.1744_U	HQ680556	1	1744	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_lacustris																																												
JQ610159.1.848_U	JQ610159	1	848	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Gomphonema	Gomphonema_parvulum					PLN	Gomphonema parvulum strain LCR-S-22-1 18S ribosomal RNA gene,			LCR-S-22-1																											culture								
JF790980.1.1777_U	JF790980	1	1777	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_cistuliformis					PLN	Cymbella cistuliformis clone 1113 18S ribosomal RNA gene, partial					1113		Gulf of Mexico			15-Aug-2010					PCR_primers=fwd_name: Euk328f, rev_name: Euk392r															environmental								
AM502004.1.1732_U	AM502004	1	1732	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbopleura	Cymbopleura_naviculiformis					PLN	Cymbopleura naviculiformis 18S rRNA gene, strain AT-221.02.			AT-221.02									Germany																		culture								
HQ680573.1.1744_U	HQ680573	1	1744	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_unipunctata																																												
JN790276.1.1660_U	JN790276	1	1660	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Encyonema	Encyonema_silesacum					PLN	Encyonema silesacum strain TCC717 18S ribosomal RNA gene, partial			TCC717									Spain																		culture								
AM502035.1.1731_U	AM502035	1	1731	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Encyonema	Encyonema_caespitosum			1		PLN	Encyonema caespitosum 18S rRNA gene, strain AT-214Gel03.			AT-214Gel03									Germany																		culture								
JN033245.1.1180_U	JN033245	1	1180	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_signata					PLN	Cymbella signata 18S ribosomal RNA gene, partial sequence.							seawater					Chile																										
JN790292.1.1676_U	JN790292	1	1676	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Reimeria	Reimeria_sinuata					PLN	Reimeria sinuata strain TCC721 18S ribosomal RNA gene, partial			TCC721									Portugal																		culture								
HQ680495.1.1803_U	HQ680495	1	1803	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_microcephala																																												
HQ680567.1.1276_U	HQ680567	1	1276	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_pseudoincerta																																												
HQ680569.1.1721_U	HQ680569	1	1721	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_rhetica																																												
JN790280.1.1680_U	JN790280	1	1680	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Gomphonema	Gomphonema_acuminatum					PLN	Gomphonema acuminatum strain TCC737 18S ribosomal RNA gene, partial			TCC737									Portugal																		culture								
HQ680548.1.1663_U	HQ680548	1	1663	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_heteropleura																																												
FN690533.1.1663_U	FN690533	1	1663	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_sp.					ENV	Uncultured stramenopile partial 18S rRNA gene, clone 3b-F7.					3b-F7		sea ice					Sweden:Bothnian Sea	62.43 N 19.55 E																	environmental			62.43	19.55				
HQ680500.1.1741_U	HQ680500	1	1741	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_pusilla																																												
HQ680560.1.1663_U	HQ680560	1	1663	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_minor																																												
AM501995.1.1731_U	AM501995	1	1731	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Gomphonema	Gomphonema_parvulum					PLN	Gomphonema cf. parvulum 18S rRNA gene, strain AT-161.15.			AT-161.15									Germany																		culture								
HQ680521.1.1787_U	HQ680521	1	1787	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_carassius																																												
HQ680559.1.1663_U	HQ680559	1	1663	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_latarea																																												
JN790279.1.1644_U	JN790279	1	1644	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Gomphoneis	Gomphoneis_minuta					PLN	Gomphoneis minuta strain TCC715 18S ribosomal RNA gene, partial			TCC715									Spain																		culture								
HQ680552.1.1684_U	HQ680552	1	1684	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_inflata																																												
FN690527.1.1663_U	FN690527	1	1663	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_sp.					ENV	Uncultured stramenopile partial 18S rRNA gene, clone 4-F7.					4-F7		sea ice					Finland:Gulf of Finland	59.5 N 23.15 E																	environmental			59.5	23.15				
HQ680507.1.1744_U	HQ680507	1	1744	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_acutiuscula																																												
KC771180.1.1774_U	KC771180	1	1774	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_sp.					ENV	Uncultured marine eukaryote clone I-7-MC550-OTU-68 18S ribosomal					I-7-MC550-OTU-68		"ice algae sample from Bering Sea; U.S. ice breaker Polar Sea cruise"""			24-mars-10			62.22 N 173.78 W	E. Durbin																environmental			62.22	-173.78				
HQ680536.1.1775_U	HQ680536	1	1775	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_formosa																																												
HQ680508.1.1744_U	HQ680508	1	1744	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_adnata																																												
AM501997.1.1732_U	AM501997	1	1732	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbopleura	Cymbopleura_naviculiformis					PLN	Cymbopleura naviculiformis 18S rRNA gene, strain AT-177.04.			AT-177.04									Germany																		culture								
HQ680526.1.1783_U	HQ680526	1	1783	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_delecta																																												
JN790291.1.1667_U	JN790291	1	1667	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Reimeria	Reimeria_sinuata					PLN	Reimeria sinuata strain TCC735 18S ribosomal RNA gene, partial			TCC735									Portugal																		culture								
HQ912608.1.1720_U	HQ912608	1	1720	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Gomphonema	Gomphonema_affine					PLN	Gomphonema affine strain UTEX FD173 18S small subunit ribosomal RNA			UTEX FD173																											culture								
AM501969.1.1737_U	AM501969	1	1737	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Mayamaea	Mayamaea_atomus_var._permitis					PLN	Mayamaea atomus var. permitis 18S rRNA gene, strain AT-101Gel04.			AT-101Gel04									Germany																		culture								
HQ680571.1.1722_U	HQ680571	1	1722	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Cymbella	Cymbella_sigmoidea																																												
AJ535157.1.1789_U	AJ535157	1	1789	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Encyonema	Encyonema_triangulatum			1		PLN	Encyonema triangulatum 18S rRNA gene, strain L1313.			L1313		p916							USA																		culture								
JN790290.1.1680_U	JN790290	1	1680	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Reimeria	Reimeria_sinuata					PLN	Reimeria sinuata strain TCC719 18S ribosomal RNA gene, partial			TCC719									Spain																		culture								
