pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
EU143484.1.893_U	EU143484	1	893	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcales-Clade-B	Prasinoderma	Prasinoderma_singularis					ENV	Uncultured marine Prasinococcales clone PROSOPE.CD-50m.96 18S					PROSOPE.CD-50m.96		"Mediterranean Sea; <3 micrometers from cruise PROSOPE, 1999, Stn DYF, CTD 81, Depth 50m"""			1999					PCR_primers=fwd_name: Euk328f, rev_name: CHLO02r															environmental								
AB058375.1.1750_U	AB058375	1	1750	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcales-Clade-B	Prasinococcales-Clade-B_X	Prasinococcales-Clade-B1_X_sp.			1		PLN	Coccoid prasinophyte sp. MBIC10622 gene for 18S rRNA, partial			MBIC10622																											culture								
EU143481.1.898_U	EU143481	1	898	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcales-Clade-B	Prasinococcales-Clade-B_X	Prasinococcales-Clade-B1_X_sp.					ENV	Uncultured marine Prasinococcales clone PROSOPE.CD-15m.37 18S					PROSOPE.CD-15m.37		"Mediterranean Sea; <3 micrometers from cruise PROSOPE, 1999, Stn DYF, CTD 81, Depth 15m"""			1999					PCR_primers=fwd_name: Euk328f, rev_name: CHLO02r															environmental								
JQ222894.1.1622_U	JQ222894	1	1622	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcales-Clade-B	Prasinoderma	Prasinoderma_sp.					ENV	Uncultured eukaryote clone SHAU399 16S ribosomal RNA gene, partial					SHAU399		"ocean water marine sample, Saanich Inlet, Station S3, 10m depth"""			24-Apr-2007		Canada																		environmental								
FJ619276.1.1016_U	FJ619276	1	1016	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Palmophyllales	Palmophyllaceae	Palmophyllum	Palmophyllum_umbracola			1		PLN	Palmophyllum umbracola isolate 2 18S ribosomal RNA gene, partial						2						New Zealand																		isolate								
FJ997212.1.2212_U	FJ997212	1	2212	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcales-Clade-B	Prasinoderma	Prasinoderma_singularis					PLN	Prasinoderma singularis strain RCC927 18S ribosomal RNA gene,			RCC927	RCC:927			"marine culture from South-East Pacific Ocean"""																							culture								
EU446344.1.1542_U	EU446344	1	1542	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcales-Clade-A	Prasinococcus	Prasinococcus_capsulatus			1		ENV	Uncultured marine eukaryote clone UI13E11 small subunit ribosomal					UI13E11		"anoxic deep hypersaline L'Atalante Basin, eastern Mediterranean Sea"""								"PCR_primers=fwd_name: Euk A (21f), rev_name: U1391R"""															environmental								
U40919.1.1778_U	U40919	1	1778	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcales-Clade-A	Prasinococcus	Prasinococcus_capsulatus			1		PLN	Coccoid green alga CCMP1407 nuclear 18S ribosomal RNA gene.			CCMP1407																											culture								
EU106760.1.856_U	EU106760	1	856	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcales-Clade-B	Prasinoderma	Prasinoderma_coloniale					PLN	Prasinoderma sp. RCC907 18S ribosomal RNA gene, partial sequence.			RCC907; Roscoff Culture Collection, France				"marine culture from South-East Pacific Ocean"""																							culture								
AB183630.1.1749_U	AB183630	1	1749	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcales-Clade-B	Prasinoderma	Prasinoderma_coloniale					PLN	Prasinoderma sp. MBIC10713 gene for 18S rRNA, partial sequence,			MBIC10713												29-0/5-1															culture								
JQ223033.1.1630_U	JQ223033	1	1630	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcales-Clade-B	Prasinoderma	Prasinoderma_sp.					ENV	Uncultured eukaryote clone SHAU693 16S ribosomal RNA gene, partial					SHAU693		"ocean water marine sample, Saanich Inlet, Station S3, 10m depth"""			24-Apr-2007		Canada																		environmental								
EU371173.1.1789_U	EU371173	1	1789	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcales-Clade-B	Prasinococcales-Clade-B_X	Prasinococcales-Clade-B2_X_sp.					ENV	Uncultured marine eukaryote clone NPK2_59 18S ribosomal RNA gene					NPK2_59		2m sea water sample from Arctic																							environmental								
AF203403.1.1739_U	AF203403	1	1739	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcales-Clade-A	Prasinococcus	Prasinococcus_capsulatus			1		PLN	Prasinococcus sp. CCMP1614 18S ribosomal RNA gene, partial			CCMP1614																											culture								
AB183632.1.1749_U	AB183632	1	1749	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcales-Clade-B	Prasinoderma	Prasinoderma_coloniale					PLN	Prasinoderma sp. MBIC10721 gene for 18S rRNA, partial sequence,			MBIC10721												27-0/10															culture								
FJ997213.1.2232_U	FJ997213	1	2232	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcales-Clade-B	Prasinoderma	Prasinoderma_singularis					PLN	Prasinoderma singularis strain RCC946 18S ribosomal RNA gene,			RCC946	RCC:946			"marine culture from South-East Pacific Ocean"""																							culture								
EU143480.1.898_U	EU143480	1	898	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcales-Clade-B	Prasinococcales-Clade-B_X	Prasinococcales-Clade-B_X_sp.					ENV	Uncultured marine Prasinococcales clone PROSOPE.C3-5m.49 18S					PROSOPE.C3-5m.49		"Mediterranean Sea; <3 micrometers from cruise PROSOPE, 1999, Stn 3, CTD 17, Depth 5m"""			1999					PCR_primers=fwd_name: Euk328f, rev_name: CHLO02r															environmental								
FJ619277.1.1394_U	FJ619277	1	1394	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Palmophyllales	Palmophyllaceae	Verdigellas	Verdigellas_peltata			1		PLN	Verdigellas peltata 18S ribosomal RNA gene, partial sequence.												Guadeloupe																										
EU106768.1.861_U	EU106768	1	861	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcales-Clade-B	Prasinoderma	Prasinoderma_coloniale					PLN	Prasinoderma sp. RCC916 18S ribosomal RNA gene, partial sequence.			RCC916; Roscoff Culture Collection, France				"marine culture from South-East Pacific Ocean"""																							culture								
EU143478.1.896_U	EU143478	1	896	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcales-Clade-A	Prasinococcus	Prasinococcus_capsulatus					ENV	Uncultured marine Prasinococcales clone PROSOPE.C3-5m.68 18S					PROSOPE.C3-5m.68		"Mediterranean Sea; <3 micrometers from cruise PROSOPE, 1999, Stn 3, CTD 17, Depth 5m"""			1999					PCR_primers=fwd_name: Euk328f, rev_name: CHLO02r															environmental								
AB183633.1.1749_U	AB183633	1	1749	Eukaryota	Archaeplastida	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcales-Clade-B	Prasinoderma	Prasinoderma_coloniale					PLN	Prasinoderma sp. MBIC10728 gene for 18S rRNA, partial sequence,			MBIC10728												41-0/8															culture								
