pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
AB772635.1.1710_U	AB772635	1	1710	Eukaryota	Hacrobia	Katablepharidophyta	Katablepharidaceae	Katablepharidales	Katablepharidales_X	Hatena	Hatena_arenicola					PLN	Hatena arenicola gene for 18S ribosomal RNA, partial sequence,																																						
AB772640.1.1710_U	AB772640	1	1710	Eukaryota	Hacrobia	Katablepharidophyta	Katablepharidaceae	Katablepharidales	Katablepharidales_X	Hatena	Hatena_arenicola					PLN	Hatena arenicola gene for 18S ribosomal RNA, partial sequence,																																						
AB772649.1.1710_U	AB772649	1	1710	Eukaryota	Hacrobia	Katablepharidophyta	Katablepharidaceae	Katablepharidales	Katablepharidales_X	Hatena	Hatena_arenicola					PLN	Hatena arenicola gene for 18S ribosomal RNA, partial sequence,																																						
HE655288.1.917_U	HE655288	1	917	Eukaryota	Hacrobia	Katablepharidophyta	Katablepharidaceae	Katablepharidales	Katablepharidales_X	Katablepharidales_XX	Katablepharidales_XX_sp.					ENV	Uncultured katablepharidophyte partial 18S rRNA gene, clone					PC07.B6_Lia_1		lake water			21-juil.-08		Spain:Central Pyrenees, Lake Long Liat	42.81 N 0.87 E																	environmental			42.81	0.87				
DQ409127.1.986_U	DQ409127	1	986	Eukaryota	Hacrobia	Katablepharidophyta	Katablepharidaceae	Katablepharidales	Katablepharidales_X	Katablepharidales_XX	Katablepharidales_XX_sp.					ENV	Uncultured eukaryotic picoplankton clone VP31 18S ribosomal RNA					VP31		"lacustrine small eukaryotic community in hyper-eutrophic conditions"""																							environmental								
AB772586.1.1710_U	AB772586	1	1710	Eukaryota	Hacrobia	Katablepharidophyta	Katablepharidaceae	Katablepharidales	Katablepharidales_X	Hatena	Hatena_arenicola					PLN	Hatena arenicola gene for 18S ribosomal RNA, partial sequence,																																						
AB772642.1.1710_U	AB772642	1	1710	Eukaryota	Hacrobia	Katablepharidophyta	Katablepharidaceae	Katablepharidales	Katablepharidales_X	Hatena	Hatena_arenicola					PLN	Hatena arenicola gene for 18S ribosomal RNA, partial sequence,																																						
JF488808.1.1109_U	JF488808	1	1109	Eukaryota	Hacrobia	Katablepharidophyta	Katablepharidaceae	Katablepharidales	Katablepharidales_X	Katablepharidales_XX	Katablepharidales_XX_sp.					INV	Eukaryote SCGC AAA071-N08 18S ribosomal RNA gene, partial sequence.							Gulf of Maine								single cell isolate (1 m depth)																							
AY919689.1.1707_U	AY919689	1	1707	Eukaryota	Hacrobia	Katablepharidophyta	Katablepharidaceae	Katablepharidales	Katablepharidales_X	Katablepharidales_XX	Katablepharidales_XX_sp.			1		ENV	Uncultured freshwater eukaryote clone LG04-01 18S ribosomal RNA					LG04-01		"oligotrophic freshwater lake; euphotic portion of the water column, 1% light penetration"""					USA: Lake George, Adirondack Park																		environmental								
GU067822.1.1591_U	GU067822	1	1591	Eukaryota	Hacrobia	Katablepharidophyta	Katablepharidaceae	Katablepharidales	Katablepharidales_X	Katablepharidales_XX	Katablepharidales_XX_sp.					ENV	Uncultured katablepharidophyte clone ESS220206.043 18S ribosomal					ESS220206.043		"lake water filtered through 3 um from lake Esch sur Sure, depth 0m"""			22-Feb-2006		Luxembourg			PCR_primers=fwd_name: Euk328, rev_name: Euk329															environmental								
