pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
GU824707.1.1210_U	GU824707	1	1210	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Centroheliozoa_XX	Centroheliozoa_XXX	Centroheliozoa_XXXX	Centroheliozoa_XXXX_sp.					ENV	Uncultured eukaryote clone AB5F14RM13C01 18S ribosomal RNA gene,					AB5F14RM13C01		"anoxic water column sample, Cariaco Basin, Caribbean Sea"""																							environmental								
AY749515.1.1581_U	AY749515	1	1581	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystida_X	Pterocystida_XX	Pterocystida_XX_sp.					ENV	Uncultured eukaryote clone H28.4 18S ribosomal RNA gene, partial					H28.4																									environmental								
AY749539.1.1586_U	AY749539	1	1586	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Centroheliozoa_XX	Centroheliozoa_XXX	Centroheliozoa_XXXX	Centroheliozoa_XXXX_sp.					ENV	Uncultured eukaryote clone H22.4 18S ribosomal RNA gene, partial					H22.4																									environmental								
AY749626.1.2212_U	AY749626	1	2212	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Acanthocystida	Acanthocystidae	Acanthocystis	Acanthocystis_sp.			1		INV	Acanthocystis sp. Oxford8 18S ribosomal RNA gene, partial sequence.							sediment from lake					United Kingdom: University Parks, Oxford																										
AY749527.1.1584_U	AY749527	1	1584	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Centroheliozoa_XX	Centroheliozoa_XXX	Centroheliozoa_XXXX	Centroheliozoa_XXXX_sp.			1		ENV	Uncultured eukaryote clone H24.7 18S ribosomal RNA gene, partial					H24.7																									environmental								
HQ867370.1.867_U	HQ867370	1	867	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Centroheliozoa_XX	Centroheliozoa_XXX	Centroheliozoa_XXXX	Centroheliozoa_XXXX_sp.					ENV	Uncultured eukaryote clone SHAC673 18S ribosomal RNA gene, partial					SHAC673		"Saanich Inlet, oxygenated marine water column, 10 m depth"""			14-nov.-06		Canada: Vancouver																		environmental								
AY749487.1.1576_U	AY749487	1	1576	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystidae	Pterocystidae_X	Pterocystidae_X_sp.					ENV	Uncultured eukaryote clone H11.9 18S ribosomal RNA gene, partial					H11.9																									environmental								
AY749614.1.1619_U	AY749614	1	1619	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Heterophryidae	Sphaerastrum	Sphaerastrum_fockii					INV	Sphaerastrum fockii 18S ribosomal RNA gene, partial sequence.							algae					United Kingdom: River Thames, Oxford																										
AY749503.1.1625_U	AY749503	1	1625	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystida_X	Pterocystida_XX	Pterocystida_XX_sp.			1		ENV	Uncultured eukaryote clone H19.4 18S ribosomal RNA gene, partial					H19.4																									environmental								
AY749628.1.2234_U	AY749628	1	2234	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Acanthocystida	Acanthocystidae	Acanthocystis	Acanthocystis_sp.			1		INV	Acanthocystis sp. NZ2 18S ribosomal RNA gene, partial sequence.							algae					New Zealand: Hamilton Lake																										
AY749627.1.2256_U	AY749627	1	2256	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Acanthocystida	Acanthocystidae	Acanthocystis	Acanthocystis_sp.					INV	Acanthocystis sp. Oxford4 18S ribosomal RNA gene, partial sequence.							soil					United Kingdom: University Parks, Oxford																										
AY749510.1.1573_U	AY749510	1	1573	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Centroheliozoa_XX	Centroheliozoa_XXX	Centroheliozoa_XXXX	Centroheliozoa_XXXX_sp.			1		ENV	Uncultured eukaryote clone H15.10 18S ribosomal RNA gene, partial					H15.10																									environmental								
HQ394086.1.848_U	HQ394086	1	848	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Centroheliozoa_XX	Centroheliozoa_XXX	Centroheliozoa_XXXX	Centroheliozoa_XXXX_sp.					ENV	Uncultured eukaryote clone T4C4_27 18S ribosomal RNA gene, partial					T4C4_27		lagoon					France: Thau																		environmental								
AF534710.1.2118_U	AF534710	1	2118	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Heterophryidae	Heterophrys	Heterophrys_marina			1		INV	Heterophrys marina 18S ribosomal RNA gene, partial sequence.			LI2-7																											culture								
AY749488.1.1636_U	AY749488	1	1636	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystida_X	Pterocystida_XX	Pterocystida_XX_sp.			1		ENV	Uncultured eukaryote clone H1.10 18S ribosomal RNA gene, partial					H1.10																									environmental								
AY749523.1.1584_U	AY749523	1	1584	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Centroheliozoa_XX	Centroheliozoa_XXX	Centroheliozoa_XXXX	Centroheliozoa_XXXX_sp.			1		ENV	Uncultured eukaryote clone H16.12 18S ribosomal RNA gene, partial					H16.12																									environmental								
HQ867771.1.885_U	HQ867771	1	885	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystida_X	Pterocystida_XX	Pterocystida_XX_sp.					ENV	Uncultured eukaryote clone SHAH390 18S ribosomal RNA gene, partial					SHAH390		"Saanich Inlet, oxygenated marine water column, 100 m depth"""			14-nov.-06		Canada: Vancouver																		environmental								
AY749608.1.1549_U	AY749608	1	1549	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystidae	Pterocystis	Pterocystis_sp.					INV	Pterocystis sp. Oxford3 18S ribosomal RNA gene, partial sequence.							sediment from lake					United Kingdom: University Parks, Oxford																										
AY749548.1.1625_U	AY749548	1	1625	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystida_X	Pterocystida_XX	Pterocystida_XX_sp.			1		ENV	Uncultured eukaryote clone H10.2 18S ribosomal RNA gene, partial					H10.2																									environmental								
DQ409105.1.851_U	DQ409105	1	851	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Centroheliozoa_XX	Centroheliozoa_XXX	Centroheliozoa_XXXX	Centroheliozoa_XXXX_sp.					ENV	Uncultured eukaryotic picoplankton clone VN22 18S ribosomal RNA					VN22		"lacustrine small eukaryotic community in hyper-eutrophic conditions"""																							environmental								
AY749524.1.1605_U	AY749524	1	1605	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Centroheliozoa_XX	Centroheliozoa_XXX	Centroheliozoa_XXXX	Centroheliozoa_XXXX_sp.					ENV	Uncultured eukaryote clone H4.1 18S ribosomal RNA gene, partial					H4.1																									environmental								
AY749601.1.1576_U	AY749601	1	1576	Eukaryota	Hacrobia	Centroheliozoa	Centroheliozoa_X	Pterocystida	Pterocystidae	Pterocystis	Pterocystis_foliacea					INV	Pterocystis foliacea isolate PP 18S ribosomal RNA gene, partial						PP	sediment					United Kingdom: Priest Pot, Cumbria																		isolate								
