pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
GU256923.1.979_U	GU256923	1	979	Eukaryota	Stramenopiles	Stramenopiles_X	Opalinata	Opalinata_X	Blastocystis-Group	Blastocystis	Blastocystis_sp.					PLN	Blastocystis sp. ST12 isolate b20 18S ribosomal RNA gene, partial						b20			giraffe			Netherlands																		isolate								
JX132218.1.1755_U	JX132218	1	1755	Eukaryota	Stramenopiles	Stramenopiles_X	Opalinata	Opalinata_X	Blastocystis-Group	Blastocystis	Blastocystis_sp.					ENV	Uncultured Blastocystis clone CEss531 18S ribosomal RNA gene,					CEss531		stool		Homo sapiens						PCR_primers=fwd_name: EK1F, rev_name: EK-1520															environmental								
KF002559.1.1770_U	KF002559	1	1770	Eukaryota	Stramenopiles	Stramenopiles_X	Opalinata	Opalinata_X	Blastocystis-Group	Blastocystis	Blastocystis_hominis					PLN	Blastocystis hominis isolate RU2 small subunit ribosomal RNA gene,						RU2																								isolate								
KF002549.1.1721_U	KF002549	1	1721	Eukaryota	Stramenopiles	Stramenopiles_X	Opalinata	Opalinata_X	Blastocystis-Group	Blastocystis	Blastocystis_hominis					PLN	Blastocystis hominis isolate HIBS1 small subunit ribosomal RNA						HIBS1																								isolate								
U51152.1.1778_U	U51152	1	1778	Eukaryota	Stramenopiles	Stramenopiles_X	Opalinata	Opalinata_X	Blastocystis-Group	Blastocystis	Blastocystis_sp.			1		PLN	Blastocystis sp. 16S-like ribosomal RNA gene.			NIH:1295:1						Guinea-pig						ATCC# 50578															culture								
AM275376.1.1033_U	AM275376	1	1033	Eukaryota	Stramenopiles	Stramenopiles_X	Opalinata	Opalinata_X	Blastocystis-Group	Blastocystis	Blastocystis_hominis					PLN	Blastocystis hominis partial 18S rRNA gene, isolate 05/RS336.1.						05/RS336.1				01-May-2005		Denmark																		isolate								
JX158962.1.1054_U	JX158962	1	1054	Eukaryota	Stramenopiles	Stramenopiles_X	Opalinata	Opalinata_X	Blastocystis-Group	Blastocystis	Blastocystis_sp.					ENV	Uncultured Blastocystis clone CEgs475 18S ribosomal RNA gene,					CEgs475		stool		gorilla						PCR_primers=fwd_name: E528F, rev_name: Univ1492															environmental								
AY266470.1.2023_U	AY266470	1	2023	Eukaryota	Stramenopiles	Stramenopiles_X	Opalinata	Opalinata_X	Blastocystis-Group	Blastocystis	Blastocystis_sp.					PLN	Blastocystis sp. AFJ96-H12 18S ribosomal RNA gene, partial									Bufo japonicus japonicus (toad)			Japan																										
CABX01000153.6.1249_U	CABX01000153	6	1249	Eukaryota	Stramenopiles	Stramenopiles_X	Opalinata	Opalinata_X	Blastocystis-Group	Blastocystis	Blastocystis_hominis																																												
AM275354.1.1013_U	AM275354	1	1013	Eukaryota	Stramenopiles	Stramenopiles_X	Opalinata	Opalinata_X	Blastocystis-Group	Blastocystis	Blastocystis_hominis					PLN	Blastocystis hominis partial 18S rRNA gene, isolate 05/RS141.1.						05/RS141.1				01-May-2005		Denmark																		isolate								
