pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
AM501979.1.1735_U	AM501979	1	1735	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Pinnularia	Pinnularia_subcapitata					PLN	Pinnularia subcapitata 18S rRNA gene, strain AT-100.01.			AT-100.01									Germany																		culture								
AM502024.1.1737_U	AM502024	1	1737	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Pinnularia	Pinnularia_mesolepta			1		PLN	Pinnularia mesolepta 18S rRNA gene, strain AT-161.05.			AT-161.05									Germany																		culture								
HQ912580.1.1726_U	HQ912580	1	1726	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Caloneis	Caloneis_lewisii					PLN	Caloneis lewisii strain UTEX FD54 18S small subunit ribosomal RNA			UTEX FD54																											culture								
AM501985.1.1736_U	AM501985	1	1736	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Pinnularia	Pinnularia_viridiformis					PLN	Pinnularia viridiformis 18S rRNA gene, strain AT-70.10.			AT-70.10									Germany																		culture								
AJ544645.1.1714_U	AJ544645	1	1714	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Sellaphora	Sellaphora_pupula					PLN	Sellaphora pupula partial 18S rRNA gene, strain RECT-3.			RECT-3				fresh water					United Kingdom:Edinburgh, Blackford Pond																		culture								
JN418569.1.1706_U	JN418569	1	1706	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Pinnularia	Pinnularia_marchica					PLN	Pinnularia cf. marchica strain (Ecrins4)a 18S ribosomal RNA gene,			(Ecrins4)a							22-sept.-06		France		C. Souffreau	"authority: Pinnularia cf. marchica Ilka Schonfelder"""															culture								
EF151978.1.1741_U	EF151978	1	1741	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Sellaphora	Sellaphora_lanceolata					PLN	Sellaphora lanceolata clone BLA13 18S ribosomal RNA gene, partial					BLA13			E3637																						specimen								
KC736630.1.1685_U	KC736630	1	1685	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Mayamaea	Mayamaea_permitis					PLN	Mayamaea permitis clone TCC540 18S ribosomal RNA gene, partial					TCC540		river			29-Apr-2009		France: La Reunion																		environmental								
AM743105.1.1612_U	AM743105	1	1612	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Pinnularia	Pinnularia_obscura					PLN	Pinnularia obscura partial 18S rRNA gene, strain L1242.			L1242																											culture								
EF151975.1.1735_U	EF151975	1	1735	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Sellaphora	Sellaphora_pupula					PLN	Sellaphora pupula clone AFR1 18S ribosomal RNA gene, partial					AFR1			E3622							Sellaphora pupula agg. 'afro'															specimen								
