pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
HQ868774.1.908_U	HQ868774	1	908	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Appendicularia	Oikopleura	Oikopleura_sp.					ENV	Uncultured eukaryote clone SHAX1016 18S ribosomal RNA gene, partial					SHAX1016		"Saanich Inlet, oxygenated marine water column, 10 m depth"""			24-Apr-2007		Canada: Vancouver																		environmental								
HQ869088.1.873_U	HQ869088	1	873	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Appendicularia	Oikopleura	Oikopleura_sp.					ENV	Uncultured eukaryote clone SHAX603 18S ribosomal RNA gene, partial					SHAX603		"Saanich Inlet, oxygenated marine water column, 10 m depth"""			24-Apr-2007		Canada: Vancouver																		environmental								
HQ869029.1.887_U	HQ869029	1	887	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Appendicularia	Oikopleura	Oikopleura_sp.					ENV	Uncultured eukaryote clone SHAX534 18S ribosomal RNA gene, partial					SHAX534		"Saanich Inlet, oxygenated marine water column, 10 m depth"""			24-Apr-2007		Canada: Vancouver																		environmental								
AACT01030526.2.1210_U	AACT01030526	2	1210	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Ascidiacea	Ciona	Ciona_savignyi																																												
JF961822.1.1702_U	JF961822	1	1702	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Ascidiacea	Pyura	Pyura_sp.					INV	Pyura sp. PRT-2011 isolate Pyura_spNZ3 18S ribosomal RNA gene,						Pyura_spNZ3																								isolate								
AB211121.1.2074_U	AB211121	1	2074	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Ascidiacea	Diplosoma	Diplosoma_sp.					INV	Diplosoma sp. DipSS/111 gene for 18S rRNA, partial sequence.												Japan:Kagoshima, Nakanoshima Is.																										
HQ868616.1.899_U	HQ868616	1	899	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Appendicularia	Oikopleura	Oikopleura_sp.					ENV	Uncultured eukaryote clone SHAX851 18S ribosomal RNA gene, partial					SHAX851		"Saanich Inlet, oxygenated marine water column, 10 m depth"""			24-Apr-2007		Canada: Vancouver																		environmental								
JF961805.1.1702_U	JF961805	1	1702	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Ascidiacea	Pyura	Pyura_herdmani					INV	Pyura herdmani isolate PherdStLucia2 18S ribosomal RNA gene,						PherdStLucia2																								isolate								
HQ868671.1.902_U	HQ868671	1	902	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Appendicularia	Oikopleura	Oikopleura_sp.					ENV	Uncultured eukaryote clone SHAX908 18S ribosomal RNA gene, partial					SHAX908		"Saanich Inlet, oxygenated marine water column, 10 m depth"""			24-Apr-2007		Canada: Vancouver																		environmental								
HQ868746.1.879_U	HQ868746	1	879	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Appendicularia	Oikopleura	Oikopleura_sp.					ENV	Uncultured eukaryote clone SHAX986 18S ribosomal RNA gene, partial					SHAX986		"Saanich Inlet, oxygenated marine water column, 10 m depth"""			24-Apr-2007		Canada: Vancouver																		environmental								
DQ346653.1.1798_U	DQ346653	1	1798	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Ascidiacea	Botryllus	Botryllus_planus			1		INV	Botryllus planus 18S ribosomal RNA, complete sequence.															colonial ascidian																							
JF961807.1.1702_U	JF961807	1	1702	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Ascidiacea	Pyura	Pyura_praeputialis					INV	Pyura praeputialis isolate PpraeKLC1 18S ribosomal RNA gene,						PpraeKLC1																								isolate								
EU662246.1.876_U	EU662246	1	876	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Ascidiacea	Ecteinascidia	Ecteinascidia_turbinata					INV	Ecteinascidia turbinata clone Egy-4 18S ribosomal RNA gene, partial					Egy-4					juil.-06		Egypt: Marsa Ra'daa (Red Sea)			PCR_primers=fwd_name: 18sF1, rev_name: 18sR2															environmental								
AB211103.1.2075_U	AB211103	1	2075	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Ascidiacea	Diplosoma	Diplosoma_simile			1		INV	Diplosoma simile gene for 18S rRNA, partial sequence,												USA:Hawaii, Coconuts Is.																										
HQ868736.1.874_U	HQ868736	1	874	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Appendicularia	Oikopleura	Oikopleura_sp.					ENV	Uncultured eukaryote clone SHAX976 18S ribosomal RNA gene, partial					SHAX976		"Saanich Inlet, oxygenated marine water column, 10 m depth"""			24-Apr-2007		Canada: Vancouver																		environmental								
HQ015394.1.1787_U	HQ015394	1	1787	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Ascidiacea	Cyclosalpa	Cyclosalpa_polae					INV	Cyclosalpa polae 18S ribosomal RNA gene, partial sequence.												Atlantic Ocean: north		L. Madin																								
AB211087.1.1916_U	AB211087	1	1916	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Ascidiacea	Lissoclinum	Lissoclinum_punctatum					INV	Lissoclinum punctatum gene for 18S rRNA, partial sequence,												Japan:Okimawa, Iriomotejima Is., Sumiyoshi																										
AY903922.1.1772_U	AY903922	1	1772	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Ascidiacea	Metandrocarpa	Metandrocarpa_taylori					INV	Metandrocarpa taylori 18S ribosomal RNA gene, complete sequence.																																						
JQ222920.1.1636_U	JQ222920	1	1636	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Appendicularia	Appendicularia_X	Appendicularia_X_sp.					ENV	Uncultured eukaryote clone SHAU457 16S ribosomal RNA gene, partial					SHAU457		"ocean water marine sample, Saanich Inlet, Station S3, 10m depth"""			24-Apr-2007		Canada																		environmental								
FM244840.1.1718_U	FM244840	1	1718	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Ascidiacea	Clavelina	Clavelina_meridionalis					INV	Clavelina meridionalis partial 18S rRNA gene.										13-juil.-05		Kenya		Xavier Turon																								
HQ015380.1.1732_U	HQ015380	1	1732	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Ascidiacea	Pyrosomella	Pyrosomella_verticillata					INV	Pyrosomella verticillata 18S ribosomal RNA gene, partial sequence.												Australia: northwest		R. Hopcroft																								
HQ868946.1.973_U	HQ868946	1	973	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Appendicularia	Appendicularia_X	Appendicularia_X_sp.					ENV	Uncultured eukaryote clone SHAX434 18S ribosomal RNA gene, partial					SHAX434		"Saanich Inlet, oxygenated marine water column, 10 m depth"""			24-Apr-2007		Canada: Vancouver																		environmental								
HQ868904.1.878_U	HQ868904	1	878	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Appendicularia	Oikopleura	Oikopleura_sp.					ENV	Uncultured eukaryote clone SHAX390 18S ribosomal RNA gene, partial					SHAX390		"Saanich Inlet, oxygenated marine water column, 10 m depth"""			24-Apr-2007		Canada: Vancouver																		environmental								
HQ015408.1.1731_U	HQ015408	1	1731	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Ascidiacea	Salpa	Salpa_maxima					INV	Salpa maxima 18S ribosomal RNA gene, partial sequence.							Celebes Sea							L. Madin																								
HQ868530.1.878_U	HQ868530	1	878	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Appendicularia	Oikopleura	Oikopleura_sp.					ENV	Uncultured eukaryote clone SHAX757 18S ribosomal RNA gene, partial					SHAX757		"Saanich Inlet, oxygenated marine water column, 10 m depth"""			24-Apr-2007		Canada: Vancouver																		environmental								
L12434.1.1804_U	L12434	1	1804	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Ascidiacea	Molgula	Molgula_provisionalis			1		INV	Molgula provisionalis 18S ribosomal RNA, complete sequence.																																						
AB211106.1.2075_U	AB211106	1	2075	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Ascidiacea	Diplosoma	Diplosoma_simile			1		INV	Diplosoma simile gene for 18S rRNA, partial sequence,												Indonesia:Bali, Sanur																										
HQ015393.1.1754_U	HQ015393	1	1754	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Ascidiacea	Cyclosalpa	Cyclosalpa_floridana					INV	Cyclosalpa floridana 18S ribosomal RNA gene, partial sequence.							Celebes Sea							L. Madin																								
AACT01059881.1228.2676_U	AACT01059881	1228	2676	Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Ascidiacea	Ciona	Ciona_savignyi																																												
