pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
FR717538.2.2171_U	FR717538	2	2171	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophorales_X	Uronema_Chlorophyceae	Uronema_sp.					PLN	Uronema sp. CCAP 384/1 genomic DNA containing 18S rRNA gene, ITS1,			CCAP 384/1	CCAP:384/1			freshwater snow					USA:Alaska, Port Barrow			"sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2"""															culture								
KC589697.1.1711_U	KC589697	1	1711	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Stephanosphaera	Stephanosphaera_pluvialis					PLN	Stephanosphaera pluvialis isolate UTEX 771 18S ribosomal RNA gene,						UTEX 771																								isolate								
HQ662272.1.846_U	HQ662272	1	846	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydomonas	Chlamydomonas_debaryana					PLN	Chlamydomonas debaryana strain mn0727 18S ribosomal RNA gene,			mn0727				paddy field					India: Rasipuram, Namakkal district, Tamilnadu																		culture								
FR865611.2.1763_U	FR865611	2	1763	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydomonas	Chlamydomonas_rapa					PLN	Chlamydomonas rapa f. vasta genomic DNA containing 18S rRNA gene,			CCAP11/73	CCAP:11/73								Czech Republic:near Ramzova (Ramsau)			forma: vasta															culture								
U83121.1.1738_U	U83121	1	1738	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Tetraspora	Tetraspora_sp.			1		PLN	Tetraspora sp. 18S ribosomal RNA gene, partial sequence.																																						
KC794696.1.803_U	KC794696	1	803	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Acutodesmus	Acutodesmus_obliquus					PLN	Acutodesmus obliquus strain LUCC 009 18S ribosomal RNA gene,			LUCC 009																											culture								
JN086475.1.1637_U	JN086475	1	1637	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlorosarcinopsis	Chlorosarcinopsis_sp.					PLN	Chlorosarcinopsis sp. XLD-B-10 18S ribosomal RNA gene, partial			XLD-B-10									"China: Xinjiang Uhygur autonomous region, Tarim basin, Taklimakan desert"""																		culture								
JX134610.1.1631_U	JX134610	1	1631	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophorales_X	Draparnaldioides	Draparnaldioides_simplex					PLN	Draparnaldioides simplex voucher 02DB 18S ribosomal RNA gene,							lake water	02DB		19-juin-11		Russia	51.51 N 104.51 E	Kupchinskiy																specimen			51.51	104.51				
FN867153.1.1045_U	FN867153	1	1045	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydomonadales_XX	Chlamydomonadales_XX_sp.					ENV	Uncultured eukaryote partial 18S rRNA gene, clone O319606A11.					O319606A11		River water			03-nov.-02		Spain	37.72 N 6.55 W																	environmental			37.72	-6.55				
KC486786.1.1643_U	KC486786	1	1643	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Dunaliella	Dunaliella_sp.					ENV	Uncultured Dunaliella isolate LT37_D10 18S ribosomal RNA gene,							Lake Tyrrell					Australia: Victoria																		environmental								
FN867193.1.1045_U	FN867193	1	1045	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydomonadales_XX	Chlamydomonadales_XX_sp.					ENV	Uncultured eukaryote partial 18S rRNA gene, clone O319606E09.					O319606E09		River water			03-nov.-02		Spain	37.72 N 6.55 W																	environmental			37.72	-6.55				
AF513377.1.1674_U	AF513377	1	1674	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Bracteacoccus	Bracteacoccus_sp.					PLN	Bracteacoccus sp. CNPVF15 18S small subunit ribosomal RNA gene,			CNPVF15																											culture								
FN863443.1.1046_U	FN863443	1	1046	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydomonadales_XX	Chlamydomonadales_XX_sp.					ENV	Uncultured eukaryote partial 18S rRNA gene, clone B216606H09.					B216606H09		River water			01-nov.-02		Spain	37.59 N 6.55 W																	environmental			37.59	-6.55				
FN863006.1.1046_U	FN863006	1	1046	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydomonadales_XX	Chlamydomonadales_XX_sp.					ENV	Uncultured eukaryote partial 18S rRNA gene, clone B133606F06.					B133606F06		River water			01-nov.-02		Spain	37.59 N 6.55 W																	environmental			37.59	-6.55				
AF517091.1.1522_U	AF517091	1	1522	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chloromonas	Chloromonas_palmelloides					PLN	Chloromonas palmelloides 18S small subunit ribosomal RNA gene,			SAG32.86																											culture								
JX101903.1.1563_U	JX101903	1	1563	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Polyedriopsis	Polyedriopsis_spinulosa					PLN	Polyedriopsis spinulosa 18S ribosomal RNA gene, partial sequence.																																						
AY663031.1.1691_U	AY663031	1	1691	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Hydrodictyon	Hydrodictyon_africanum			1		PLN	Hydrodictyon africanum strain UTEX LB 782 18S ribosomal RNA gene,			UTEX LB 782																											culture								
HQ191344.1.1755_U	HQ191344	1	1755	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydomonadales_XX	Chlamydomonadales_XX_sp.					ENV	Uncultured Chlorophyta clone PA2009C30 18S ribosomal RNA gene,					PA2009C30		"meromictic, dimictic and oligo-mesotrophic lake"""					France: Massif Central, Lake Pavin	45.50 N 2.88 E		"contains 18S ribosomal RNA, internal transcribed spacer 1, 5.8S ribosomal RNA, internal transcribed spacer 2, and 28S ribosomal RNA"""															environmental			45.5	2.88				
JF972673.1.1636_U	JF972673	1	1636	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlorosarcinopsis	Chlorosarcinopsis_bastropiensis					ENV	Uncultured eukaryote clone ThJAR2B-7 18S ribosomal RNA gene,					ThJAR2B-7		air sample					Greece																		environmental								
AB278612.1.1687_U	AB278612	1	1687	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlorogonium	Chlorogonium_capillatum					PLN	Chlorogonium capillatum gene for 18S ribosomal RNA, partial			CCAP 12/2A																											culture								
AF008241.1.1709_U	AF008241	1	1709	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydomonas	Chlamydomonas_noctigama					PLN	Chlamydomonas noctigama 18S ribosomal RNA gene, partial sequence.			UTEX 1339												strain previously known as Chlamydomonas pinicola															culture								
KC852905.1.1794_U	KC852905	1	1794	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Acutodesmus	Acutodesmus_obliquus					PLN	Acutodesmus obliquus isolate NFW4 18S ribosomal RNA gene, partial						NFW4						Malaysia: Kota Kinabalu, Sabah																		isolate								
FN866894.1.1046_U	FN866894	1	1046	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydomonadales_XX	Chlamydomonadales_XX_sp.					ENV	Uncultured eukaryote partial 18S rRNA gene, clone O239306A05.					O239306A05		River water			03-nov.-02		Spain	37.72 N 6.55 W																	environmental			37.72	-6.55				
HQ191285.1.1754_U	HQ191285	1	1754	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydomonadales_XX	Chlamydomonadales_XX_sp.					ENV	Uncultured Chlorophyta clone PA2009E25 18S ribosomal RNA gene,					PA2009E25		"meromictic, dimictic and oligo-mesotrophic lake"""					France: Massif Central, Lake Pavin	45.50 N 2.88 E		"contains 18S ribosomal RNA, internal transcribed spacer 1, 5.8S ribosomal RNA, internal transcribed spacer 2, and 28S ribosomal RNA"""															environmental			45.5	2.88				
EU925396.1.1402_U	EU925396	1	1402	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydomonas	Chlamydomonas_moewusii					PLN	Chlamydomonas moewusii strain SAG24.91 18S ribosomal RNA gene,			SAG24.91				trout-breeding pond			1990		Germany: Goettingen		U.G. Schloesser	"authority: Chlamydomonas moewusii Gerloff; PCR_primers=fwd_name: 360FE, rev_name: 1492RE"""															culture								
FN690707.1.810_U	FN690707	1	810	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydomonadales_XX	Chlamydomonadales_XX_sp.					ENV	Uncultured Chlorophyta partial 18S rRNA gene, clone 5c-A10.					5c-A10		sea ice					Sweden:Bothnian Bay	65.11 N 22.42 E																	environmental			65.11	22.42				
FR865560.2.1770_U	FR865560	2	1770	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydomonas	Chlamydomonas_sp.					PLN	Chlamydomonas sp. CCAP 11/166 genomic DNA containing 18S rRNA gene,			CCAP11/166	CCAP:11/166								"USA:West Twin Lake, Itasca State Park, Minnesota"""			"sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene"""															culture								
AJ410460.1.1770_U	AJ410460	1	1770	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Lobochlamys	Lobochlamys_segnis					PLN	Lobochlamys segnis partial 18S rRNA gene, strain SAG 50.84.			SAG 50.84												PCR-amplified															culture								
AY220588.1.1693_U	AY220588	1	1693	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydomonadales_XX	Chlamydomonadales_XX_sp.					PLN	Chlamydomonad sp. Pic6/3T-3w 18S ribosomal RNA gene, partial			Pic6/3T-3w									USA: Minnesota, Itasca State Park																		culture								
GQ375093.1.1767_U	GQ375093	1	1767	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Coelastrum	Coelastrum_astroideum					PLN	Coelastrum astroideum var. rugosum strain UTEX2442 18S ribosomal			UTEX2442																											culture								
HQ191374.1.2209_UC	HQ191374	1	2209	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Mychonastes	Mychonastes_sp.					ENV	Uncultured Chlorophyta clone PA2009B27 18S ribosomal RNA gene,					PA2009B27		"meromictic, dimictic and oligo-mesotrophic lake"""					France: Massif Central, Lake Pavin	45.50 N 2.88 E		"contains 18S ribosomal RNA, internal transcribed spacer 1, 5.8S ribosomal RNA, internal transcribed spacer 2, and 28S ribosomal RNA"""															environmental			45.5	2.88				
