pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
DQ244021.1.1733_U	DQ244021	1	1733	Eukaryota	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Parvilucifera-group	Parvilucifera-group_X	Parvilucifera-group_X_sp.			1		ENV	Uncultured alveolate clone PAD10AU2004 18S ribosomal RNA gene,					PAD10AU2004		freshwater																							environmental								
AF497479.1251.3059_U	AF497479	1251	3059	Eukaryota	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Perkinsida_XX	Perkinsus	Perkinsus_marinus			1		INV	Perkinsus marinus strain TXsc 5S ribosomal RNA gene, partial			TXsc						Crassostrea virginica			USA: Texas			nontranscribed spacer region															culture								
AY486140.1.1786_U	AY486140	1	1786	Eukaryota	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Perkinsida_XX	Perkinsus	Perkinsus_mediterraneus			1		INV	Perkinsus mediterraneus isolate 3 small subunit ribosomal RNA gene,						3	"parasite hypnospores from Ostrea edulis"""																							isolate								
FJ410726.1.800_U	FJ410726	1	800	Eukaryota	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Perkinsida_XX	Perkinsida_XXX	Perkinsida_XXX_sp.					ENV	Uncultured eukaryote clone EBM60.102 18S ribosomal RNA gene,					EBM60.102		freshwater lake					China																		environmental								
AB771894.1.1581_U	AB771894	1	1581	Eukaryota	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Parvilucifera-group	Parvilucifera-group_X	Parvilucifera-group_X_sp.					ENV	Uncultured freshwater eukaryote gene for 18S rRNA, partial					K1JAN2012		freshwater lake					Japan:Gunma																		environmental								
GQ330637.1.1447_U	GQ330637	1	1447	Eukaryota	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Perkinsida_XX	Perkinsida_XXX	Perkinsida_XXX_sp.					ENV	Uncultured Perkinsea clone PR2_3E_17 18S ribosomal RNA gene,					PR2_3E_17		"water from Praz Rodet peat bog, Jura Mountains"""					Switzerland																		environmental								
AF530536.1.1695_U	AF530536	1	1695	Eukaryota	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Perkinsida_XX	Perkinsida_XXX	Perkinsida_XXX_sp.			1		ENV	Uncultured alveolate clone AT4-98 18S ribosomal RNA gene, partial					AT4-98		"hydrothermal Mid Atlantic Ridge environments"""																							environmental								
FJ424512.1.1801_U	FJ424512	1	1801	Eukaryota	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Parvilucifera-group	Parvilucifera	Parvilucifera_prorocentri			1		INV	Parvilucifera prorocentri 18S ribosomal RNA gene, partial sequence.																																						
EF196778.1.879_U	EF196778	1	879	Eukaryota	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Perkinsida_XX	Perkinsida_XXX	Perkinsida_XXX_sp.					ENV	Uncultured eukaryotic picoplankton clone B66 18S ribosomal RNA					B66		lake water					France: Alpes																		environmental								
X75762.1.1793_U	X75762	1	1793	Eukaryota	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Perkinsida_XX	Perkinsus	Perkinsus_marinus			1		INV	P.marinus small subunit rRNA.																																						
EF100348.1.1448_U	EF100348	1	1448	Eukaryota	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Perkinsida_XX	Perkinsida_XXX	Perkinsida_XXX_sp.			1		ENV	Uncultured eukaryote clone D4P08A10 18S ribosomal RNA gene, partial					D4P08A10		"oxygen-depleted intertidal marine sediment, upper 2 cm sediment surface"""					Greenland: Arctic																		environmental								
FJ410549.1.800_U	FJ410549	1	800	Eukaryota	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Perkinsida_XX	Perkinsida_XXX	Perkinsida_XXX_sp.					ENV	Uncultured alveolate clone MLBM132.3 18S ribosomal RNA gene,					MLBM132.3		freshwater lake					China																		environmental								
AF133909.1.1715_U	AF133909	1	1715	Eukaryota	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Parvilucifera-group	Parvilucifera	Parvilucifera_infectans			1		INV	Parvilucifera infectans 18S ribosomal RNA gene, partial sequence.									Protoperidinium sp.			Sweden:Skagerakk																										
AF530535.1.1715_U	AF530535	1	1715	Eukaryota	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Perkinsida_XX	Perkinsus	Perkinsus_marinus			1		ENV	Uncultured perkinsid clone AT2-6 18S ribosomal RNA gene, partial					AT2-6		"hydrothermal Mid Atlantic Ridge environments"""																							environmental								
JN705491.1.1264_U	JN705491	1	1264	Eukaryota	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Perkinsida_XX	Perkinsida_XXX	Perkinsida_XXX_sp.					ENV	Uncultured microeukaryote clone 226Feb24_02C 18S ribosomal RNA					226Feb24_02C		"groundwater of the Hanford Site 300 Area subsurface"""					USA: Washington, north of Richland																		environmental								
EU502912.1.1780_U	EU502912	1	1780	Eukaryota	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Parvilucifera-group	Parvilucifera	Parvilucifera_sinerae			1		INV	Parvilucifera sp. RRF-2008 18S ribosomal RNA gene, partial																																						
AY487832.1.1786_U	AY487832	1	1786	Eukaryota	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Perkinsida_XX	Perkinsus	Perkinsus_mediterraneus			1		INV	Perkinsus mediterraneus isolate 8 small subunit ribosomal RNA gene,						8	"parasite hypnospores from Ostrea edulis"""																							isolate								
DQ244020.1.1732_U	DQ244020	1	1732	Eukaryota	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Parvilucifera-group	Parvilucifera-group_X	Parvilucifera-group_X_sp.			1		ENV	Uncultured alveolate clone PAB11AU2004 18S ribosomal RNA gene,					PAB11AU2004		freshwater																							environmental								
