pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
EF492501.1.1795_U	EF492501	1	1795	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karenia	Karenia_brevis			1	2008-03-31 00:00:00	PLN	Karenia brevis isolate CCMP718 18S small subunit ribosomal RNA						CCMP718											Leblond,J.D., Logares,R., Rengefors,K. and Evens,T.J.	Unpublished							marine pelagic biome					isolate								
EU780621.1.1699_U	EU780621	1	1699	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_sp.					ENV	Uncultured eukaryote clone AMT15_33B_10 18S ribosomal RNA gene,					AMT15_33B_10		ocean water			24-oct.-04			37.83 S 1.23 E																	environmental			-37.83	1.23				
AY426884.1.845_U	AY426884	1	845	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_sp.					ENV	Uncultured marine eukaryote clone BL001221.38 18S ribosomal RNA					BL001221.38		Mediterranean coast																							environmental								
JF791035.1.1777_U	JF791035	1	1777	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karenia	Karenia_mikimotoi					PLN	Gymnodinium mikimotoi clone 7509 18S ribosomal RNA gene, partial					7509		Gulf of Mexico			18-Aug-2010					PCR_primers=fwd_name: Euk328f, rev_name: Euk392r															environmental								
AF172712.1.1796_U	AF172712	1	1796	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_veneficum			1	2000-05-23 00:00:00	PLN	Gymnodinium galatheanum strain KT-77B 18S small subunit ribosomal			KT-77B												Gymnodinium galatheanum Braarud		Tengs,T., Dahlberg,O.J., Shalchian-Tabrizi,K., Klaveness,D.,	Mol. Biol. Evol. 17 (5), 718-729 (2000)							marine pelagic biome					culture								
JF791048.1.1777_U	JF791048	1	1777	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_veneficum					PLN	Karlodinium micrum clone 7540 18S ribosomal RNA gene, partial					7540		Gulf of Mexico			18-Aug-2010					PCR_primers=fwd_name: Euk328f, rev_name: Euk392r															environmental								
AF172714.1.1797_U	AF172714	1	1797	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karenia	Karenia_brevis			1	2000-05-23 00:00:00	PLN	Gymnodinium breve strain CCMP718 18S small subunit ribosomal RNA			CCMP718												Gymnodinium breve Davis		Tengs,T., Dahlberg,O.J., Shalchian-Tabrizi,K., Klaveness,D.,	Mol. Biol. Evol. 17 (5), 718-729 (2000)							marine pelagic biome					culture								
HM067005.1.1741_U	HM067005	1	1741	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karenia	Karenia_papilionacea			1	2011-05-10 00:00:00	PLN	Karenia papilionacea strain CAWD91 18S ribosomal RNA gene, partial			CAWD91									New Zealand					Henrichs,D.W., Sosik,H.M., Olson,R.J. and Campbell,L.	Unpublished							marine pelagic biome					culture								
EU793000.1.847_U	EU793000	1	847	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_veneficum					ENV	Uncultured dinoflagellate clone PROSOPE.C9-5m.99 18S ribosomal RNA					PROSOPE.C9-5m.99		"Mediterranean Sea; marine picoplankton < 3 micrometer from cruise PROSOPE, 1999, Stn 9, Depth 5m"""			1999					PCR_primers=fwd_name: Euk328, rev_name: CHLO02r															environmental								
AJ415516.1.1755_U	AJ415516	1	1755	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_veneficum			1	2003-12-04 00:00:00	PLN	Gymnodinium galatheanum 18S rRNA gene.																	Shalchian-Tabrizi,K., Tengs,T., Klaveness,D., Rudi,K. and	Unpublished							marine pelagic biome													
FN357291.1.1761_U	FN357291	1	1761	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_sp.			1	2009-04-22 00:00:00	PLN	Karlodinium sp. KAMS0708 18S rRNA gene, ITS1, 23S rRNA gene, ITS2										Aug-2007		South Korea:Masan Bay		Kang NS	internal transcribed spacer 1, ITS1		Jeong,H., Yoo,Y. and Kang,N.	Unpublished							marine pelagic biome													
FJ587219.1.1705_U	FJ587219	1	1705	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karenia	Karenia_brevis			1	2009-09-01 00:00:00	PLN	Karenia brevis strain CCMP2229 18S small subunit ribosomal RNA			CCMP2229														Hou,Y., Zhang,H. and Lin,S.	Unpublished							marine pelagic biome					culture								
EF492506.1.1794_U	EF492506	1	1794	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_veneficum			1	2008-03-31 00:00:00	PLN	Karlodinium micrum isolate NEPCC734 18S small subunit ribosomal RNA						NEPCC734											Leblond,J.D., Logares,R., Rengefors,K. and Evens,T.J.	Unpublished							marine pelagic biome					isolate								
AF352821.1.1680_U	AF352821	1	1680	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karenia	Karenia_brevis					PLN	Karena brevis isolate Piney Island 18S small subunit ribosomal RNA						Piney Island																								isolate								
JF791032.1.1777_U	JF791032	1	1777	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_veneficum					PLN	Karlodinium micrum clone 3927 18S ribosomal RNA gene, partial					3927		Gulf of Mexico			16-Aug-2010					PCR_primers=fwd_name: Euk328f, rev_name: Euk392r															environmental								
AF009131.1.1800_U	AF009131	1	1800	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karenia	Karenia_mikimotoi			1	1999-11-23 00:00:00	PLN	Gymnodinium mikimotoi small subunit ribosomal RNA gene, complete			GMKUSJAP CAWD05												"isolated by Dr. Takashi Ishimaru of the Tokyo University of Fisheries from Kushimoto, Wakayama Prefecture, Japan"""		Haywood,A.J., Gray,R.D., Bergquist,P.R., Bergquist,P.L., Reeves,R.,	Unpublished							marine pelagic biome					culture								
