pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
EU047707.1.1788_U	EU047707	1	1788	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonas	Goniomonas_amphinema					PLN	Goniomonas aff. amphinema 18S ribosomal RNA gene, partial sequence.												United Kingdom: North Wales																										
U03072.1.1944_U	U03072	1	1944	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonas	Goniomonas_truncata					PLN	Goniomonas truncata 18S ribosomal RNA.					pF45,pF46,pF47										small subunit rRNA															environmental								
EF674349.1.870_U	EF674349	1	870	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonadales_X	Goniomonadales_X_sp.					ENV	Uncultured fungus clone surface17 18S ribosomal RNA gene, partial					surface17		hyporheic zone of a springbrook					Canada: Valley Spring, southern Ontario	43.75 N 79.25 W																	environmental			43.75	-79.25				
AY705739.1.2046_U	AY705739	1	2046	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonas	Goniomonas_sp.			1		PLN	Goniomonas sp. SH-8 18S ribosomal RNA gene, partial sequence.							freshwater, River Exe					United Kingdom: Devon																										
AY705740.1.2044_U	AY705740	1	2044	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonas	Goniomonas_sp.			1		PLN	Goniomonas sp. SH-9 18S ribosomal RNA gene, partial sequence.							freshwater, River Exe					United Kingdom: Devon																										
EF172963.1.1667_U	EF172963	1	1667	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonas	Goniomonas_sp.			1		ENV	Uncultured eukaryote clone SSRPD79 18S ribosomal RNA gene, partial					SSRPD79		"water sample collected at 20 m depth in the Sargasso Sea; water was prefiltered through a 2 micrometer filter (picoplanktonic size fraction samples)"""																							environmental								
AJ536451.1.1793_U	AJ536451	1	1793	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonas	Goniomonas_sp.					ENV	Uncultured cryptomonad 18S rRNA gene.							"accidentally sequenced contaminant found in culture"""					Austria			PCR 5' primer															environmental								
HQ867961.1.892_U	HQ867961	1	892	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonas	Goniomonas_sp.					ENV	Uncultured eukaryote clone SHAO609 18S ribosomal RNA gene, partial					SHAO609		"Saanich Inlet, micro-oxic marine water column, 120 m depth"""			14-nov.-06		Canada: Vancouver																		environmental								
AY360456.1.1756_U	AY360456	1	1756	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonas	Goniomonas_sp.			1		PLN	Goniomonas sp. SH-2 18S ribosomal RNA gene, partial sequence.							"marine, Rion Castle Moat, Patra, Greece"""																															
HQ659565.1.1944_U	HQ659565	1	1944	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonas	Goniomonas_truncata					PLN	Goniomonas truncata strain omc3 18S ribosomal RNA gene, partial			omc3																											culture								
JQ955905.1.985_U	JQ955905	1	985	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonadales_X	Goniomonadales_X_sp.					ENV	Uncultured eukaryote clone AN0830_9B5A 18S ribosomal RNA gene,					AN0830_9B5A		"water sample taken from 38 m depth at station 115 from ArcticNet cruise, Baffin Bay"""			13-sept.-08		Canada: Arctic region	76.20 N 71.13 W		PCR_primers=fwd_name: nsf4/18, rev_name: nlr204/21															environmental			76.2	-71.13				
GU823733.1.1064_U	GU823733	1	1064	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonas	Goniomonas_sp.					ENV	Uncultured eukaryote clone BCA5F13RM1C05 18S ribosomal RNA gene,					BCA5F13RM1C05		"oxygenated water column sample, Cariaco Basin, Caribbean Sea"""																							environmental								
AY360459.1.1988_U	AY360459	1	1988	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonas	Goniomonas_sp.			1		PLN	Goniomonas sp. SH-5 18S ribosomal RNA gene, partial sequence.							freshwater, Spittal Pond, Bermuda																															
AY360454.1.1789_U	AY360454	1	1789	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonas	Goniomonas_sp.			1		PLN	Goniomonas sp. ATCC 50108 18S ribosomal RNA gene, partial sequence.			ATCC 50108																											culture								
JN705503.1.1317_U	JN705503	1	1317	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonadales_X	Goniomonadales_X_sp.					ENV	Uncultured microeukaryote clone 226Jun21_05A 18S ribosomal RNA					226Jun21_05A		"groundwater of the Hanford Site 300 Area subsurface"""					USA: Washington, north of Richland																		environmental								
HQ866867.1.875_U	HQ866867	1	875	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonadales_X	Goniomonadales_X_sp.					ENV	Uncultured eukaryote clone SGTB389 18S ribosomal RNA gene, partial					SGTB389		"Saanich Inlet, anoxic marine water column, 200 m depth"""			06-juil.-06		Canada: Vancouver																		environmental								
JQ434475.1.1733_U	JQ434475	1	1733	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonas	Goniomonas_avonlea					PLN	Goniomonas avonlea 18S ribosomal RNA gene, partial sequence.							sandy beach			01-juil.-10		Canada	46.5105 N 63.4856 W	E Kim																			46.5105	-63.4856				
HQ868168.1.878_U	HQ868168	1	878	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonas	Goniomonas_sp.					ENV	Uncultured eukaryote clone SHAT511 18S ribosomal RNA gene, partial					SHAT511		"Saanich Inlet, oxygenated marine water column, 200 m depth"""			14-nov.-06		Canada: Vancouver																		environmental								
GU822965.1.1056_U	GU822965	1	1056	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonas	Goniomonas_sp.					ENV	Uncultured stramenopile clone AI5F13RM2E09 18S ribosomal RNA gene,					AI5F13RM2E09		"micro-oxic water column sample, Cariaco Basin, Caribbean Sea"""																							environmental								
AB749136.1.1861_U	AB749136	1	1861	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonas	Goniomonas_truncata					ENV	Uncultured Cryptomonadaceae gene for 18S ribosomal RNA, partial					Cn-St.4-87		river water			18-oct.-08		Japan:Miyagi, Sendai, Hirose River																		environmental								
DQ980479.1.1933_U	DQ980479	1	1933	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonas	Goniomonas_truncata			1		PLN	Goniomonas truncata clone gtssu4 small subunit ribosomal RNA gene,			TMG005		gtssu4							USA: Wisconsin, Lake Tomahawk, Oneida County																		culture								
EF526832.1.1390_U	EF526832	1	1390	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonadales_X	Goniomonadales_X_sp.			1		ENV	Uncultured marine eukaryote clone NA1_3C10 18S ribosomal RNA gene,					NA1_3C10		marine environment																							environmental								
EF526920.1.1334_U	EF526920	1	1334	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonadales_X	Goniomonadales_X_sp.			1		ENV	Uncultured marine eukaryote clone SA24E12 18S ribosomal RNA gene,					SA24E12		marine environment																							environmental								
AY705738.1.1745_U	AY705738	1	1745	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonas	Goniomonas_amphinema			1		PLN	Goniomonas amphinema 18S ribosomal RNA gene, partial sequence.							marine, algae from rockpool					United Kingdom: Lynmouth																										
AB749111.1.1861_U	AB749111	1	1861	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonas	Goniomonas_truncata					ENV	Uncultured Cryptomonadaceae gene for 18S ribosomal RNA, partial					Cn-St.7-62		river water			26-Dec-2007		Japan:Miyagi, Sendai, Hirose River																		environmental								
HQ529498.1.974_U	HQ529498	1	974	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonadales_X	Goniomonadales_X_sp.					ENV	Uncultured eukaryote clone DFCe9 18S ribosomal RNA gene, partial					DFCe9		snow					Canada: Ellesmere Island, Disraeli Fjord	82.853 N 73.496 W																	environmental			82.853	-73.496				
GQ344730.1.910_U	GQ344730	1	910	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonas	Goniomonas_sp.					ENV	Uncultured marine eukaryote clone cRFM1.46 18S ribosomal RNA gene,					cRFM1.46		marine water					France: Villefranche sur Mer																		environmental								
HQ867808.1.867_U	HQ867808	1	867	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Goniomonadales	Goniomonas	Goniomonas_sp.					ENV	Uncultured eukaryote clone SHAH427 18S ribosomal RNA gene, partial					SHAH427		"Saanich Inlet, oxygenated marine water column, 100 m depth"""			14-nov.-06		Canada: Vancouver																		environmental								
