pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
FN690280.1.821_U	FN690280	1	821	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Suessiales_X	Suessiales_XX	Suessiales_XX_sp.					ENV	Uncultured alveolate partial 18S rRNA gene, clone 5c-D10.					5c-D10		sea ice					Sweden:Bothnian Bay	65.11 N 22.42 E																	environmental			65.11	22.42				
HQ867355.1.870_U	HQ867355	1	870	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp.					ENV	Uncultured eukaryote clone SHAC651 18S ribosomal RNA gene, partial					SHAC651		"Saanich Inlet, oxygenated marine water column, 10 m depth"""			14-nov.-06		Canada: Vancouver																		environmental								
GU825088.1.1075_U	GU825088	1	1075	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp.					ENV	Uncultured eukaryote clone BCA5F13RJ2H01 18S ribosomal RNA gene,					BCA5F13RJ2H01		"oxygenated water column sample, Cariaco Basin, Caribbean Sea"""																							environmental								
EF527080.1.1343_U	EF527080	1	1343	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp.					ENV	Uncultured marine eukaryote clone SIF_4D8 18S ribosomal RNA gene,					SIF_4D8		marine environment																							environmental								
FN690334.1.845_U	FN690334	1	845	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp.					ENV	Uncultured alveolate partial 18S rRNA gene, clone 6-A4.					6-A4		sea ice					Finland:Gulf of Finland	59.5 N 23.15 E																	environmental			59.5	23.15				
GU825315.1.1202_U	GU825315	1	1202	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp.					ENV	Uncultured eukaryote clone A95F15RM4G07 18S ribosomal RNA gene,					A95F15RM4G07		"anoxic water column sample, Cariaco Basin, Caribbean Sea"""																							environmental								
AY664925.1.1753_U	AY664925	1	1753	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp.					ENV	Uncultured eukaryote clone SCM28C147 18S ribosomal RNA gene,					SCM28C147		"deep chlorophyll maximum in Sargasso Sea mesoscale eddies"""								collected October 2001															environmental								
AY664981.1.1703_U	AY664981	1	1703	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysaceae	Dinophysaceae_X	Dinophysaceae_X_sp.					ENV	Uncultured eukaryote clone SCM15C79 18S ribosomal RNA gene, partial					SCM15C79		"deep chlorophyll maximum in Sargasso Sea mesoscale eddies"""								collected October 2001															environmental								
HM561096.1.967_U	HM561096	1	967	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp.					ENV	Uncultured alveolate clone CFL161DA38 18S ribosomal RNA gene,					CFL161DA38		ocean water at 12m depth			19-May-2008		Canada	70.66 N 122.88 W		PCR_primers=fwd_name: nsf4/18, rev_name: eukr															environmental			70.66	-122.88				
AY642719.1.1342_U	AY642719	1	1342	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp.					ENV	Uncultured eukaryotic picoplankton clone G5.1 18S ribosomal RNA					G5.1							"France: Massif Central, Lake La Godivelle lac d'en haut"""																		environmental								
