pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
EU562001.1.934_U	EU562001	1	934	Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Anoecales	Caecitellaceae	Caecitellus	Caecitellus_sp.					ENV	Uncultured marine eukaryote clone IND60.87 18S ribosomal RNA gene,					IND60.87		ocean water; 85m depth					Indian Ocean																		environmental								
HQ866490.1.880_U	HQ866490	1	880	Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Bicoecea_X	Bicoecea_XX	Bicoecea_XXX	Bicoecea_XXX_sp.					ENV	Uncultured eukaryote clone SGSU420 18S ribosomal RNA gene, partial					SGSU420		"Saanich Inlet, oxygenated marine water column, 100 m depth"""			06-juil.-06		Canada: Vancouver																		environmental								
HQ865557.1.876_U	HQ865557	1	876	Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Bicoecea_X	Bicoecea_XX	Bicoecea_XXX	Bicoecea_XXX_sp.					ENV	Uncultured eukaryote clone SGSF823 18S ribosomal RNA gene, partial					SGSF823		"Saanich Inlet, micro-oxic marine water column, 120 m depth"""			18-Feb-2006		Canada: Vancouver																		environmental								
HQ866710.1.880_U	HQ866710	1	880	Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Bicoecea_X	Bicoecea_XX	Bicoecea_XXX	Bicoecea_XXX_sp.					ENV	Uncultured eukaryote clone SGSY1459 18S ribosomal RNA gene, partial					SGSY1459		"Saanich Inlet, micro-oxic marine water column, 120 m depth"""			06-juil.-06		Canada: Vancouver																		environmental								
EU561896.1.816_U	EU561896	1	816	Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Anoecales	Caecitellaceae	Caecitellus	Caecitellus_sp.					ENV	Uncultured marine eukaryote clone IND58.26 18S ribosomal RNA gene,					IND58.26		ocean water; 5m depth					Indian Ocean																		environmental								
HQ866795.1.880_U	HQ866795	1	880	Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Bicoecea_X	Bicoecea_XX	Bicoecea_XXX	Bicoecea_XXX_sp.					ENV	Uncultured eukaryote clone SGSY1174 18S ribosomal RNA gene, partial					SGSY1174		"Saanich Inlet, micro-oxic marine water column, 120 m depth"""			06-juil.-06		Canada: Vancouver																		environmental								
FJ410649.1.800_U	FJ410649	1	800	Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Pseudodendromonadales_XX	Pseudodendromonadales_XX_sp.					ENV	Uncultured bicosoecid clone EBF12.136 18S ribosomal RNA gene,					EBF12.136		freshwater lake					China																		environmental								
HQ866612.1.879_U	HQ866612	1	879	Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Bicoecea_X	Bicoecea_XX	Bicoecea_XXX	Bicoecea_XXX_sp.					ENV	Uncultured eukaryote clone SGSY1347 18S ribosomal RNA gene, partial					SGSY1347		"Saanich Inlet, micro-oxic marine water column, 120 m depth"""			06-juil.-06		Canada: Vancouver																		environmental								
HQ866575.1.874_U	HQ866575	1	874	Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Bicoecea_X	Bicoecea_XX	Bicoecea_XXX	Bicoecea_XXX_sp.					ENV	Uncultured eukaryote clone SGSY1307 18S ribosomal RNA gene, partial					SGSY1307		"Saanich Inlet, micro-oxic marine water column, 120 m depth"""			06-juil.-06		Canada: Vancouver																		environmental								
EF620521.1.1717_U	EF620521	1	1717	Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Anoecales	Cafeteriaceae	Cafeteria	Cafeteria_sp.					ENV	Uncultured bicosoecid clone OC4.1 18S ribosomal RNA gene, partial					OC4.1		"enrichment of heterotrophic flagellates started from a surface sample from the central Indian Ocean"""			01-juin-03		Indian Ocean	17.1758 S 83.6752 E																	environmental			-17.1758	83.6752				
HQ866660.1.891_U	HQ866660	1	891	Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Bicoecea_X	Bicoecea_XX	Bicoecea_XXX	Bicoecea_XXX_sp.					ENV	Uncultured eukaryote clone SGSY1400 18S ribosomal RNA gene, partial					SGSY1400		"Saanich Inlet, micro-oxic marine water column, 120 m depth"""			06-juil.-06		Canada: Vancouver																		environmental								
HQ866568.1.880_U	HQ866568	1	880	Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Bicoecea_X	Bicoecea_XX	Bicoecea_XXX	Bicoecea_XXX_sp.					ENV	Uncultured eukaryote clone SGSY1300 18S ribosomal RNA gene, partial					SGSY1300		"Saanich Inlet, micro-oxic marine water column, 120 m depth"""			06-juil.-06		Canada: Vancouver																		environmental								
HQ865758.1.874_U	HQ865758	1	874	Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Bicoecea_X	Bicoecea_XX	Bicoecea_XXX	Bicoecea_XXX_sp.					ENV	Uncultured eukaryote clone SGSF1046 18S ribosomal RNA gene, partial					SGSF1046		"Saanich Inlet, micro-oxic marine water column, 120 m depth"""			18-Feb-2006		Canada: Vancouver																		environmental								
HQ866806.1.878_U	HQ866806	1	878	Eukaryota	Stramenopiles	Stramenopiles_X	Bicoecea	Bicoecea_X	Bicoecea_XX	Bicoecea_XXX	Bicoecea_XXX_sp.					ENV	Uncultured eukaryote clone SGSY1187 18S ribosomal RNA gene, partial					SGSY1187		"Saanich Inlet, micro-oxic marine water column, 120 m depth"""			06-juil.-06		Canada: Vancouver																		environmental								
