pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
KC218493.1.1016_U	KC218493	1	1016	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales_X	Chlorella	Chlorella_sp.					PLN	Chlorella sp. BUM11098 18S ribosomal RNA gene, partial sequence.												India: Bharathidasan University		R. Praveenkumar	PCR_primers=fwd_name: ss5, rev_name: ss3																							
AF387157.1.1664_U	AF387157	1	1664	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Geminella	Geminella_sp.					PLN	Geminella sp. SAG 20.84 18S ribosomal RNA gene, partial sequence.			SAG 20.84																											culture								
FM205834.1.1779_U	FM205834	1	1779	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales_X	Chlorella	Chlorella_sorokiniana					PLN	Chlorella sorokiniana 18S rRNA gene (partial), ITS1, 5.8S rRNA			SAG 211-8k												internal transcribed spacer 1, ITS1															culture								
AJ306536.1.1710_U	AJ306536	1	1710	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolales_X	Koliella	Koliella_corcontica					PLN	Koliella corcontica partial 18S rRNA gene, strain SAG 24.84.			SAG 24.84																											culture								
FN298919.1.1780_U	FN298919	1	1780	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales_X	Chlorella	Chlorella_vulgaris					PLN	Chlorella vulgaris 18S rRNA gene (partial), ITS1, 5.8S rRNA gene,			CCAP 211/111	CCAP:211/111					Coleps hirtus						internal transcribed spacer 1, ITS1															culture								
AB055866.1.2256_R	AB055866	1	2256	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolales_X	Stichococcus	Stichococcus_bacillaris			1		PLN	Stichococcus bacillaris gene for 18S rRNA, partial sequence,			K4-4																											culture								
JX169839.1.2139_U	JX169839	1	2139	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Watanabea-Clade	Watanabea-Clade_X	Chloroidium	Chloroidium_sp.					ENV	Chloroidium sp. enrichment culture clone GOGrp_K10 18S ribosomal					GOGrp_K10		plastic waste bin					Germany																		environmental								
JN003165.1.1530_U	JN003165	1	1530	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Microthamniales	Microthamniales_X	Trebouxia	Trebouxia_sp.					ENV	Uncultured eukaryote clone Euk10 18S ribosomal RNA gene, partial					Euk10		serpentinized dunite																							environmental								
EU045358.1.3161_G	EU045358	1	3161	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolales_X	Stichococcus	Stichococcus_sp.					PLN	Stichococcus sp. FACHB753 18S ribosomal RNA gene, partial sequence.			FACHB753																											culture								
EU045358.1.3161_R	EU045358	1	3161	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolales_X	Stichococcus	Stichococcus_sp.					PLN	Stichococcus sp. FACHB753 18S ribosomal RNA gene, partial sequence.			FACHB753																											culture								
JQ920362.1.1769_U	JQ920362	1	1769	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales_X	Neocystis	Neocystis_brevis					PLN	Neocystis brevis strain CCALA 393 18S ribosomal RNA gene, partial			CCALA 393												"identified as Nephrodiella minor in the CCALA collection"""															culture								
JX051610.1.889_U	JX051610	1	889	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales_X	Micractinium	Micractinium_sp.					PLN	Micractinium sp. CCNM 1030 18S ribosomal RNA gene, partial			CCNM 1030																											culture								
FJ013258.1.2176_R	FJ013258	1	2176	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales_X	Chloroparva	Chloroparva_pannonica					PLN	Chloroparva pannonica isolate ACT0622 18S ribosomal RNA gene,						ACT0622	water sample from soda lake					Hungary			group I															isolate								
FJ013258.1.2176_G	FJ013258	1	2176	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales_X	Chloroparva	Chloroparva_pannonica					PLN	Chloroparva pannonica isolate ACT0622 18S ribosomal RNA gene,						ACT0622	water sample from soda lake					Hungary			group I															isolate								
