pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
AB088311.1.1800_U	AB088311	1	1800	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium_fundyense					PLN	Alexandrium tamarense gene for small subunit ribosomal RNA,			SJW97043									South Korea:Chinhae Bay			type A															culture								
EF202892.1.1727_U	EF202892	1	1727	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Gambierdiscus	Gambierdiscus_australes			1	2007-12-31 00:00:00	PLN	Gambierdiscus australes clone RAV92_3_5 small subunit ribosomal RNA					RAV92_3_5												Litaker,R.W., Vandersea,M.W., Kibler,S.R., Faust,M.A., Chinain,M.,	Unpublished							marine benthic biome					environmental								
JN098272.1.1701_U	JN098272	1	1701	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium_fundyense			1	2012-01-12 00:00:00	PLN	Alexandrium sp. ACC01 clone 7 18S ribosomal RNA gene, partial			ACC01		7												Zhang,H. and Lin,S.	Unpublished							marine pelagic biome					culture								
FJ405356.1.1698_U	FJ405356	1	1698	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Pyrophacaceae	Fragilidium	Fragilidium_sp.			1	2008-11-15 00:00:00	PLN	Fragilidium sp. G02 18S ribosomal RNA gene, partial sequence.			G02				ocean water					China					Gu,H. and Wang,Y.	Zhi Wu Fen Lei Xue Bao 45, 828-840 (2007)							marine pelagic biome					culture								
AJ535385.1.1776_U	AJ535385	1	1776	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium_taylorii			1	2003-08-14 00:00:00	PLN	Alexandrium taylori 18S rRNA gene, strain AY2T.			AY2T									Italy					John,U., Fensome,R.A. and Medlin,L.K.	Mol. Biol. Evol. 20 (7), 1015-1027 (2003)							marine pelagic biome					culture								
FJ402953.1.1215_U	FJ402953	1	1215	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Ceratiaceae	Tripos	Tripos_petersenii			1	2010-01-28 00:00:00	PLN	Neoceratium petersii isolate FG40 small subunit ribosomal RNA gene,						FG40	single dinoflagellate cell					"France: Marseille, Endoume pier on the Mediterranean Sea"""	43.2800 N 5.3489 E				Gomez,F., Moreira,D. and Lopez-Garcia,P.	Protist (2009) In press							marine pelagic biome					isolate	single cell isolation		43.28	5.3489				
FJ402954.1.1213_U	FJ402954	1	1213	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Ceratiaceae	Tripos	Tripos_azoricus			1	2010-01-28 00:00:00	PLN	Neoceratium azoricum isolate FG28 small subunit ribosomal RNA gene,						FG28	single dinoflagellate cell					"France: Marseille, Endoume pier on the Mediterranean Sea"""	43.2800 N 5.3489 E				Gomez,F., Moreira,D. and Lopez-Garcia,P.	Protist (2009) In press							marine pelagic biome					isolate	single cell isolation		43.28	5.3489				
JN098310.1.1702_U	JN098310	1	1702	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium_fundyense					PLN	Alexandrium sp. AL10 clone 2 18S ribosomal RNA gene, partial			AL10		2																									culture								
JQ639757.1.1706_U	JQ639757	1	1706	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Ceratiaceae	Ceratium	Ceratium_furcoides			1	2012-05-21 00:00:00	PLN	Ceratium furcoides voucher HBI:SC201002a small subunit ribosomal								HBI:SC201002a									Zhang,Q., Liu,G.X. and Hu,Z.Y.	Unpublished							freshwater biome					specimen	single cell isolation							
AY883004.1.1784_U	AY883004	1	1784	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium_tamarense			1	2009-10-20 00:00:00	PLN	Alexandrium tamarense isolate UTEX2521 18S ribosomal RNA gene,						UTEX2521	townet sample from St. Germane River					United Kingdom: Cornwall, England					Rogers,J.E., Leblond,J.D. and Moncreiff,C.A.	Harmful Algae 5 (3), 275-280 (2006)							marine pelagic biome					isolate								
