pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
AB353770.1.1740_U	AB353770	1	1740	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Kryptoperidiniaceae	Unruhdinium	Unruhdinium_kevei			1	2007-09-04 00:00:00	PLN	Peridiniopsis cf. kevei gene for 18S rRNA, partial sequence.										26-juil.-03		Japan: Toyama, Tomi-iwa Canal Park					Takano,Y., Hansen,G., Fujita,D. and Horiguchi,T.	Unpublished							freshwater biome	host of diatom symbiont					single cell isolation							
EF202892.1.1727_U	EF202892	1	1727	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Gambierdiscus	Gambierdiscus_australes			1	2007-12-31 00:00:00	PLN	Gambierdiscus australes clone RAV92_3_5 small subunit ribosomal RNA					RAV92_3_5												Litaker,R.W., Vandersea,M.W., Kibler,S.R., Faust,M.A., Chinain,M.,	Unpublished							marine benthic biome					environmental								
JN098272.1.1701_U	JN098272	1	1701	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium_fundyense			1	2012-01-12 00:00:00	PLN	Alexandrium sp. ACC01 clone 7 18S ribosomal RNA gene, partial			ACC01		7												Zhang,H. and Lin,S.	Unpublished							marine pelagic biome					culture								
AY443022.1.1751_U	AY443022	1	1751	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	Protoperidinium_pellucidum			1	2004-10-07 00:00:00	PLN	Protoperidinium pellucidum small subunit ribosomal RNA gene,																	Saldarriaga,J.F., Taylor,F.J.R., Cavalier-Smith,T., Menden-Deuer,S.	Eur. J. Protistol. 40 (8), 85-111 (2004)							marine pelagic biome													
FJ405356.1.1698_U	FJ405356	1	1698	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Pyrophacaceae	Fragilidium	Fragilidium_sp.			1	2008-11-15 00:00:00	PLN	Fragilidium sp. G02 18S ribosomal RNA gene, partial sequence.			G02				ocean water					China					Gu,H. and Wang,Y.	Zhi Wu Fen Lei Xue Bao 45, 828-840 (2007)							marine pelagic biome					culture								
AJ535385.1.1776_U	AJ535385	1	1776	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	Alexandrium_taylorii			1	2003-08-14 00:00:00	PLN	Alexandrium taylori 18S rRNA gene, strain AY2T.			AY2T									Italy					John,U., Fensome,R.A. and Medlin,L.K.	Mol. Biol. Evol. 20 (7), 1015-1027 (2003)							marine pelagic biome					culture								
FJ217814.1.1521_U	FJ217814	1	1521	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Amphidomataceae	Azadinium	Azadinium_spinosum			1	2009-09-04 00:00:00	PLN	Azadinium spinosum strain 3D9 18S ribosomal RNA gene, partial			3D9														Tillmann,U., Elbraechter,M., Krock,B., John,U. and Cembella,A.	Eur. J. Phycol. 44 (1), 63-79 (2009)							marine pelagic biome					culture								
AB466290.1.1730_U	AB466290	1	1730	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Polykrikos	Polykrikos_kofoidii			1	2014-03-05 00:00:00	PLN	Polykrikos kofoidii gene for small subunit ribosomal RNA, complete												Japan:Iwate, Ofunato Bay					Matsuoka,K., Kawami,H., Nagai,S., Iwataki,M. and Takayama,H.	Rev. Palaeobot. Palynol. 154, 79-90 (2009)							marine pelagic biome													
JN255740.1.1594_U	JN255740	1	1594	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Suessiaceae	Symbiodinium	Symbiodinium_sp.			1	2011-12-26 00:00:00	PLN	Symbiodinium sp. JW-2011 isolate K6_37 small subunit ribosomal RNA						K6_37			Entacmaea quadricolor (red)								Hartle-Mougiou,K., D Angelo,C., Smith,E.G., Burt,J., West,P. and	Unpublished							marine pelagic biome	symbiont	Entacmaea quadricolor			isolate	single cell isolation							
HM853805.1.1191_U	HM853805	1	1191	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	Dinophysis_hastata			1	2011-08-02 00:00:00	PLN	Dinophysis hastata isolate FG1432 18S ribosomal RNA gene, partial						FG1432	"single dinoflagellate cell collected at Villefranche"""					Mediterranean Sea					Gomez,F., Lopez-Garcia,P. and Moreira,D.	J. Phycol. 47 (2), 393-406 (2011)							marine pelagic biome					isolate	single cell isolation							
FJ402953.1.1215_U	FJ402953	1	1215	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Ceratiaceae	Tripos	Tripos_petersenii			1	2010-01-28 00:00:00	PLN	Neoceratium petersii isolate FG40 small subunit ribosomal RNA gene,						FG40	single dinoflagellate cell					"France: Marseille, Endoume pier on the Mediterranean Sea"""	43.2800 N 5.3489 E				Gomez,F., Moreira,D. and Lopez-Garcia,P.	Protist (2009) In press							marine pelagic biome					isolate	single cell isolation		43.28	5.3489				
AB016539.1.1726_U	AB016539	1	1726	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Suessiaceae	Symbiodinium	Symbiodinium_sp.			1	2008-12-03 00:00:00	PLN	Symbiodinium sp. gene for 18S rRNA.									Fragum unedo						Cloned DNA sequence after PCR of zooxanthellae population isolated from a bivalve, Fragum unedo, collected in Palau. PCR was done using universal eukaryotic 18S rDNA primers ss5 and ss3 (See Rowan and Powers. 1992. Proc. Natl. Acad. Sci. USA. 89:3639-3643		Carlos,A.A., Baillie,B.K., Kawachi,M. and Maruyama,T.	J. Phycol. 35, 1054-1062 (1999)							marine pelagic biome	symbiont	Fragum unedo											
FJ402954.1.1213_U	FJ402954	1	1213	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Ceratiaceae	Tripos	Tripos_azoricus			1	2010-01-28 00:00:00	PLN	Neoceratium azoricum isolate FG28 small subunit ribosomal RNA gene,						FG28	single dinoflagellate cell					"France: Marseille, Endoume pier on the Mediterranean Sea"""	43.2800 N 5.3489 E				Gomez,F., Moreira,D. and Lopez-Garcia,P.	Protist (2009) In press							marine pelagic biome					isolate	single cell isolation		43.28	5.3489				
