pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
HG970975.1.1815_U	HG970975	1	1815	Eukaryota	Hacrobia	Haptophyta	Haptophyta_X	Haptophyta_XX	Haptophyta_XXX	Haptophyta_XXXX	Haptophyta_XXXX_sp.				2015-06-24 00:00:00	PLN	Haptophyceae sp. EE-2014 partial 18S rRNA gene, strain CG5.	Haptophyceae sp. EE-2014		CG5				marine					South Africa:Western Cape																		culture								
JF714242.1.1794_U	JF714242	1	1794	Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Diacronema	Diacronema_ennorea					PLN	Pavlova ennorea strain AC253 18S ribosomal RNA gene, partial			AC253																											culture								
HQ877904.1.1638_U	HQ877904	1	1638	Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Diacronema	Diacronema_lutheri					PLN	Pavlova lutheri strain KMMCC H-3 18S ribosomal RNA gene, partial			KMMCC H-3									United Kingdom																		culture								
HQ877905.1.1638_U	HQ877905	1	1638	Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Diacronema	Diacronema_lutheri					PLN	Pavlova lutheri strain KMMCC H-4 18S ribosomal RNA gene, partial			KMMCC H-4									Japan																		culture								
HQ877906.1.1638_U	HQ877906	1	1638	Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Diacronema	Diacronema_lutheri					PLN	Pavlova lutheri strain KMMCC H-6 18S ribosomal RNA gene, partial			KMMCC H-6									Japan																		culture								
HQ877907.1.1638_U	HQ877907	1	1638	Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Diacronema	Diacronema_lutheri					PLN	Pavlova lutheri strain KMMCC H-7 18S ribosomal RNA gene, partial			KMMCC H-7									China																		culture								
HQ877908.1.1638_U	HQ877908	1	1638	Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Diacronema	Diacronema_lutheri					PLN	Pavlova sp. KMMCC H-8 18S ribosomal RNA gene, partial sequence.			KMMCC H-8									China																		culture								
HQ877909.1.1638_U	HQ877909	1	1638	Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Diacronema	Diacronema_lutheri					PLN	Pavlova sp. KMMCC H-9 18S ribosomal RNA gene, partial sequence.			KMMCC H-9									Japan																		culture								
AJ515247.1.1725_U	AJ515247	1	1725	Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Diacronema	Diacronema_lutheri			1		PLN	Pavlova lutheri 18S rRNA gene, strain HAP44.			HAP44 = PLY75																											culture								
EU247835.1.1734_U	EU247835	1	1734	Eukaryota	Hacrobia	Haptophyta	Pavlovophyceae	Pavlovales	Pavlovaceae	Diacronema	Diacronema_lutheri			1		PLN	Pavlovales sp. CCMP2436 18S ribosomal RNA gene, partial sequence.			CCMP2436																											culture								
