pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
JF298252.1.1854_U	JF298252	1	1854	Eukaryota	Amoebozoa	Lobosa	Lobosa_X	Himatismenida	Cochliopodiidae	Cochliopodium	Cochliopodium_bilimbosum					INV	Cochliopodium cf. bilimbosum 18S ribosomal RNA gene, partial												Baltic Sea																										
JN202428.1.1959_U	JN202428	1	1959	Eukaryota	Amoebozoa	Lobosa	Lobosa_X	Himatismenida	Parvamoebidae	Parvamoeba	Parvamoeba_rugata					INV	Parvamoeba rugata strain CCAP 1556/1 clone 12204 18S ribosomal RNA			CCAP 1556/1		12204		"intertidal zone, Millport marine station"""		Fucus serratus	1991		United Kingdom: Great Britain, Firth of Clyde			authority: Parvamoeba rugata Rogerson, 1993															culture								
JF298257.1.2250_U	JF298257	1	2250	Eukaryota	Amoebozoa	Lobosa	Lobosa_X	Himatismenida	Cochliopodiidae	Cochliopodium	Cochliopodium_minus					INV	Cochliopodium minus 18S ribosomal RNA gene, partial sequence.			CCAP 1537/1A												authority: Cochliopodium minus Page, 1976															culture								
JN202432.1.1959_U	JN202432	1	1959	Eukaryota	Amoebozoa	Lobosa	Lobosa_X	Himatismenida	Parvamoebidae	Parvamoeba	Parvamoeba_rugata					INV	Parvamoeba rugata strain CCAP 1556/1 clone 12213 18S ribosomal RNA			CCAP 1556/1		12213		"intertidal zone, Millport marine station"""		Fucus serratus	1991		United Kingdom: Great Britain, Firth of Clyde			authority: Parvamoeba rugata Rogerson, 1993															culture								
AY785056.1.1481_U	AY785056	1	1481	Eukaryota	Amoebozoa	Lobosa	Lobosa_X	Himatismenida	Cochliopodiidae	Cochliopodium	Cochliopodium_minus			1		INV	Cochliopodium minus strain CCAP 1537/5 18S ribosomal RNA gene,			CCAP 1537/5									United Kingdom: Great Britain			authority: Cochliopodium minus Page, 1976															culture								
JF298251.1.2186_U	JF298251	1	2186	Eukaryota	Amoebozoa	Lobosa	Lobosa_X	Himatismenida	Cochliopodiidae	Cochliopodium	Cochliopodium_actinophorum					INV	Cochliopodium actinophorum clone 1203 18S ribosomal RNA gene,			CCAP 1537/10		1203							"Russia: Central Russia, Volga River, Borok Settlement"""																		culture								
JN202433.1.1958_U	JN202433	1	1958	Eukaryota	Amoebozoa	Lobosa	Lobosa_X	Himatismenida	Parvamoebidae	Parvamoeba	Parvamoeba_rugata					INV	Parvamoeba rugata strain CCAP 1556/1 clone 12214 18S ribosomal RNA			CCAP 1556/1		12214		"intertidal zone, Millport marine station"""		Fucus serratus	1991		United Kingdom: Great Britain, Firth of Clyde			authority: Parvamoeba rugata Rogerson, 1993															culture								
JN638031.1.2085_U	JN638031	1	2085	Eukaryota	Amoebozoa	Lobosa	Lobosa_X	Himatismenida	Himatismenida_X	Squamamoeba	Squamamoeba_japonica					INV	Squamamoeba japonica strain CCAP 1593/1 clone 2222 18S ribosomal			CCAP 1593/1	CCAP:1593/1	2222		bottom sediments, depth 2709 m			26-Aug-2010		Pacific Ocean: Sea of Japan																		culture								
JF298245.1.2061_U	JF298245	1	2061	Eukaryota	Amoebozoa	Lobosa	Lobosa_X	Himatismenida	Cochliopodiidae	Ovalopodium	Ovalopodium_desertum					INV	Ovalopodium desertum clone 3703 18S ribosomal RNA gene, partial			CCAP 1530/1		3703		semidesert pond					Kazakhstan: Central Asia																		culture								
JF298248.1.2158_U	JF298248	1	2158	Eukaryota	Amoebozoa	Lobosa	Lobosa_X	Himatismenida	Cochliopodiidae	Cochliopodium	Cochliopodium_actinophorum					INV	Cochliopodium actinophorum clone 1206 18S ribosomal RNA gene,			CCAP 1537/10		1206							"Russia: Central Russia, Volga River, Borok Settlement"""																		culture								
