pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
AB430598.1.1862_U	AB430598	1	1862	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Araphid-pennate	Dimeregramma	Dimeregramma_minor					PLN	Dimeregramma minor var. nanum gene for 18S rRNA, partial sequence,			s0355												synonym: Dimeregramma minor var. nana															culture								
X77701.1.1795_U	X77701	1	1795	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Araphid-pennate	Asterionellopsis	Asterionellopsis_glacialis			1		PLN	A.glacialis (CCAP 1009/1) 18S rRNA gene.			CCAP 1009/1												Cast.															culture								
AB433338.1.1783_U	AB433338	1	1783	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Araphid-pennate	Plagiogramma	Plagiogramma_atomus			1		PLN	Plagiogramma atomus gene for small subunit ribosomal RNA, partial			s0330												SSU rDNA															culture								
HQ710552.1.1576_U	HQ710552	1	1576	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Araphid-pennate	Asterionellopsis	Asterionellopsis_glacialis					PLN	Asterionella glacialis voucher KMCC-B-296 18S ribosomal RNA (ssu)								KMCC-B-296																						specimen								
X77703.1.1790_U	X77703	1	1790	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Araphid-pennate	Rhaphoneis	Rhaphoneis_belgicae			1		PLN	R.belgica (Grun.) 18S rRNA gene.															(Grun.) Grun.																							
HQ912629.1.1739_U	HQ912629	1	1739	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Araphid-pennate	Delphineis	Delphineis_sp.					PLN	Delphineis sp. CCMP1095 18S small subunit ribosomal RNA gene,			CCMP1095																											culture								
AB433339.1.1710_U	AB433339	1	1710	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Araphid-pennate	Psammoneis	Psammoneis_pseudojaponica			1		PLN	Psammoneis pseudojaponica gene for small subunit ribosomal RNA,			s0354												SSU rDNA															culture								
AB433337.1.1768_U	AB433337	1	1768	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Araphid-pennate	Rhaphoneis	Rhaphoneis_amphiceros			1		PLN	Rhaphoneis amphiceros gene for small subunit ribosomal RNA, partial			s0296												SSU rDNA															culture								
JX413546.1.1644_U	JX413546	1	1644	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Araphid-pennate	Plagiogramma	Plagiogramma_sp.					PLN	Plagiogramma sp. 1 MPA-2013 isolate ECT3924Plagio 18S ribosomal RNA						ECT3924Plagio		personal:Theriot:HK324				USA: Potlatch State Park, WA																		isolate								
AB433341.1.1781_U	AB433341	1	1781	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Araphid-pennate	Psammoneis	Psammoneis_senegalensis			1		PLN	Psammoneis senegalensis gene for small subunit ribosomal RNA,			s0387												SSU rDNA															culture								
AY028344.1.1835_U	AY028344	1	1835	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Hexapoda	Insecta	Plagiogramma_insect	Plagiogramma_insect_sp.					INV	Plagiogramma sp. MSC-2001 18S ribosomal RNA gene, partial sequence.																																						
HQ912646.1.1743_U	HQ912646	1	1743	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Araphid-pennate	Asterionellopsis	Asterionellopsis_glacialis					PLN	Asterionellopsis glacialis strain CCMP1717 18S small subunit			CCMP1717																											culture								
JN975250.1.1645_U	JN975250	1	1645	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Araphid-pennate	Psammoneis	Psammoneis_japonica					PLN	Psammoneis japonica strain GU52-O-Psammo small subunit ribosomal			GU52-O-Psammo					personal:Theriot:HK299				USA: Outhouse Beach, Guam																		specimen								
HM627330.1.1107_U	HM627330	1	1107	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Araphid-pennate	Bleakeleya	Bleakeleya_notata					PLN	Bleakeleya notata small subunit ribosomal RNA gene, partial								UT HK#247																						specimen								
JX413547.1.1149_U	JX413547	1	1149	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Araphid-pennate	Dimeregramma	Dimeregramma_cf					PLN	Dimeregramma cf dubium MPA-2013 isolate GU44AI3Dimereg 18S						GU44AI3Dimereg		personal:Theriot:HK325				USA: Gab Gab Beach, Guam																		isolate								
HQ912656.1.1656_U	HQ912656	1	1656	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Araphid-pennate	Plagiogramma	Plagiogramma_staurophorum					PLN	Plagiogramma staurophorum strain ECT3776 18S small subunit			ECT3776																											culture								
