pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
AY364635.1.1973_U	AY364635	1	1973	Eukaryota	Opisthokonta	Mesomycetozoa	Nucleariidea	Nucleariida	Nucleariida_X	Nuclearia	Nuclearia_pattersoni			1		INV	Nuclearia pattersoni 18S ribosomal RNA gene, complete sequence.							gills		Rutilus rutilus			Czech Republic: Pond Novohaklovsky																										
JN825683.1.1133_U	JN825683	1	1133	Eukaryota	Opisthokonta	Mesomycetozoa	Nucleariidea	Nucleariida	Nucleariidae_Nuclearia_1	Nucleariidae_Nuclearia_1_X	Nucleariidae_Nuclearia_1_X_sp.					ENV	Uncultured Nuclearia clone Alchichica_AQ1w_5E_06 small subunit					Alchichica_AQ1w_5E_06		"microbialites from Alchichica alkaline lake maintained in aquarium (aquarium plankton)"""					Mexico																		environmental								
AF349565.1.2154_U	AF349565	1	2154	Eukaryota	Opisthokonta	Mesomycetozoa	Nucleariidea	Nucleariida	Nucleariida_X	Nuclearia	Nuclearia_moebiusi			1		INV	Nuclearia moebiusi small subunit ribosomal RNA gene, partial			CCAP 1552/3		27																									culture								
GQ330607.1.1538_U	GQ330607	1	1538	Eukaryota	Opisthokonta	Mesomycetozoa	Nucleariidea	Nucleariida	Nucleariidae_Nuclearia_1	Nucleariidae_Nuclearia_1_X	Nucleariidae_Nuclearia_1_X_sp.					ENV	Uncultured Nucleariidae clone PR2_3E_125 18S ribosomal RNA gene,					PR2_3E_125		"water from Praz Rodet peat bog, Jura Mountains"""					Switzerland																		environmental								
GQ330608.1.1670_U	GQ330608	1	1670	Eukaryota	Opisthokonta	Mesomycetozoa	Nucleariidea	Nucleariida	Nucleariidae_Nuclearia_2	Nucleariidae_Nuclearia_2_X	Nucleariidae_Nuclearia_2_X_sp.					ENV	Uncultured Nucleariidae clone PRS2_3E_65 18S ribosomal RNA gene,					PRS2_3E_65		"peat from Praz Rodet peat bog, Jura Mountains"""					Switzerland																		environmental								
AB433328.1.1899_U	AB433328	1	1899	Eukaryota	Opisthokonta	Mesomycetozoa	Nucleariidea	Nucleariida	Nucleariida_X	Nuclearia	Nuclearia_thermophila			1		INV	Nuclearia thermophila gene for 18S ribosomal RNA, partial sequence.										05-nov.-04		Japan:Tochigi, Nikko, Lake Yunoko		Masaki Yoshida																								
JN825682.1.1086_U	JN825682	1	1086	Eukaryota	Opisthokonta	Mesomycetozoa	Nucleariidea	Nucleariida	Nucleariida_X	Nuclearia	Nuclearia_sp.					ENV	Uncultured Nuclearia clone Alchichica_AQ1_5E_58 small subunit					Alchichica_AQ1_5E_58		"microbialites from Alchichica alkaline lake maintained in aquarium"""					Mexico																		environmental								
AY496008.1.977_U	AY496008	1	977	Eukaryota	Opisthokonta	Mesomycetozoa	Nucleariidea	Nucleariida	Nucleariida_X	Nuclearia	Nuclearia_sp.					INV	Nuclearia sp. 2H small subunit ribosomal RNA gene, partial																																						
AF484686.1.2132_U	AF484686	1	2132	Eukaryota	Opisthokonta	Mesomycetozoa	Nucleariidea	Nucleariida	Nucleariida_X	Nuclearia	Nuclearia_moebiusi			1		INV	Nuclearia moebiusi 18S small subunit ribosomal RNA, partial			CCAP 1552/3																											culture								
AF484687.1.1943_U	AF484687	1	1943	Eukaryota	Opisthokonta	Mesomycetozoa	Nucleariidea	Nucleariida	Nucleariida_X	Nuclearia	Nuclearia_simplex			1		INV	Nuclearia simplex 18S small subunit ribosomal RNA, partial			CCAP 1552/2 West Berlin																											culture								
EF441978.1.1993_U	EF441978	1	1993	Eukaryota	Opisthokonta	Mesomycetozoa	Nucleariidea	Nucleariida	Nucleariida_X	Nuclearia	Nuclearia_sp.					ENV	Uncultured Nucleariidae clone RT10_5E_39 16S ribosomal RNA gene,					RT10_5E_39		"endolithic community in the acidic Rio Tinto basin"""					Spain																		environmental								
AY496007.1.939_U	AY496007	1	939	Eukaryota	Opisthokonta	Mesomycetozoa	Nucleariidea	Nucleariida	Nucleariida_X	Nuclearia	Nuclearia_sp.			1		INV	Nuclearia sp. W3 small subunit ribosomal RNA gene, partial																																						
AF349563.1.2327_U	AF349563	1	2327	Eukaryota	Opisthokonta	Mesomycetozoa	Nucleariidea	Nucleariida	Nucleariida_X	Nuclearia	Nuclearia_delicatula			1		INV	Nuclearia delicatula small subunit ribosomal RNA gene, partial			CCAP 1552/1		40																									culture								
AY496009.1.937_U	AY496009	1	937	Eukaryota	Opisthokonta	Mesomycetozoa	Nucleariidea	Nucleariida	Nucleariida_X	Nuclearia	Nuclearia_sp.			1		INV	Nuclearia sp. D5 small subunit ribosomal RNA gene, partial																																						
AF349566.1.2152_U	AF349566	1	2152	Eukaryota	Opisthokonta	Mesomycetozoa	Nucleariidea	Nucleariida	Nucleariida_X	Nuclearia	Nuclearia_simplex			1		INV	Nuclearia simplex small subunit ribosomal RNA gene, partial			CCAP 1552/4		7																									culture								
HG530253.1.1804_U	HG530253	1	1804	Eukaryota	Opisthokonta	Mesomycetozoa	Nucleariidea	Nucleariida	Nucleariida_X	Nuclearia	Nuclearia_sp.					INV	Nuclearia sp. N partial 18S rRNA gene, clone N.					N		lake water			2011		Switzerland:Lake Zurich	47.32 N 8.55 E																	environmental			47.32	8.55				
