pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
JF680951.1.1743_U	JF680951	1	1743	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulotrichales	Ulotrichales_X	Gayralia	Gayralia_sp.					PLN	Gayralia sp. ALC-2011 isolate 03963 18S ribosomal RNA gene, partial						03963				23-janv.-08		USA: HI, Hawaii																		isolate								
AF416396.1.1334_U	AF416396	1	1334	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Bryopsidales	Bryopsidales_X	Chlorodesmis	Chlorodesmis_fastigiata					PLN	Chlorodesmis fastigiata 18S ribosomal RNA gene, partial sequence;			98-132									Australia: Lizard Island, GBR			insert of unknown origin															culture								
KC469132.1.1252_U	KC469132	1	1252	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Trentepohliales	Trentepohliales_X	Trentepohlia	Trentepohlia_sp.					PLN	Trentepohlia sp. DS22 18S ribosomal RNA gene, partial sequence.							Mycoporum sp.					Costa Rica			photobiont; amplified by S.Horatschek																							
GQ462981.1.1294_U	GQ462981	1	1294	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Trentepohliales	Trentepohliales_X	Trentepohliales_XX	Trentepohliales_XX_sp.					ENV	Uncultured eukaryote clone e138_12 18S ribosomal RNA gene, partial					e138_12		tree bark			17-juin-06		Panama: Barro Colorado Island																		environmental								
AY653741.1.1048_G	AY653741	1	1048	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulotrichales	Ulotrichales_X	Urospora	Urospora_neglecta					PLN	Urospora neglecta strain Un155 18S ribosomal RNA gene, partial			Un155																											culture								
JQ071995.1.1390_U	JQ071995	1	1390	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Cladophorales	Cladophorales_X	Cladophora	Cladophora_glomerata					PLN	Cladophora glomerata strain SOR45 small subunit ribosomal RNA gene,			SOR45																											culture								
AF407270.1.1325_R	AF407270	1	1325	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Bryopsidales	Bryopsidales_X	Udotea	Udotea_flabellum					PLN	Udotea flabellum strain 98-196 18S ribosomal RNA gene, partial			98-196									Panama: Portobelo, Atlantic																		culture								
AF407270.1.1325_G	AF407270	1	1325	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Bryopsidales	Bryopsidales_X	Udotea	Udotea_flabellum					PLN	Udotea flabellum strain 98-196 18S ribosomal RNA gene, partial			98-196									Panama: Portobelo, Atlantic																		culture								
AM502590.1.1691_U	AM502590	1	1691	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Cladophorales	Cladophorales_X	Ventricaria	Ventricaria_ventricosa			1		PLN	Ventricaria ventricosa partial 18S rRNA gene, strain Ventr5 (F243).			Ventr 5 (F243)				coastal marine environment	VV8 / Ventr 5 (F243)		1988		Virgin Islands:St. Croix		W. Kooistra																specimen								
FJ624490.1.1307_U	FJ624490	1	1307	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Bryopsidales	Bryopsidales_X	Halimeda	Halimeda_scabra					PLN	Halimeda scabra voucher DML68311 18S ribosomal RNA gene, partial								DML68311; US herbarium				Bahamas: Green Turtle Cay																		specimen								
