pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
FJ217814.1.1521_U	FJ217814	1	1521	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Amphidomataceae	Azadinium	Azadinium_spinosum			1	2009-09-04 00:00:00	PLN	Azadinium spinosum strain 3D9 18S ribosomal RNA gene, partial			3D9														Tillmann,U., Elbraechter,M., Krock,B., John,U. and Cembella,A.	Eur. J. Phycol. 44 (1), 63-79 (2009)							marine pelagic biome					culture								
JN680857.1.1788_U	JN680857	1	1788	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Amphidomataceae	Azadinium	Azadinium_spinosum			1	2011-12-12 00:00:00	PLN	Azadinium spinosum strain SM2 18S small subunit ribosomal RNA gene,			SM2														Tillmann,U., Salas,R., Gottschling,M., Krock,B., O Driscoll,D. and	Protist (2011) In press							marine pelagic biome					culture								
JX661035.1.1082_U	JX661035	1	1082	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Amphidomataceae	Azadinium	Azadinium_sp.			1	2012-11-11 00:00:00	PLN	Azadinium sp. JD-2012 isolate PEC18 18S ribosomal RNA gene, partial						PEC18	"endosymbiotic microalgae microdissected from Acantharia"""		Acanthochiasma sp.	2011		France	43.68 N 7.31 E				Decelle,J., Probert,I., Bittner,L., Desdevises,Y., Colin,S., de	Proc. Natl. Acad. Sci. U.S.A. 109 (44), 18000-18005 (2012)							marine pelagic biome	symbiont	Acanthochiasma sp.			isolate	single cell isolation		43.68	7.31				
FR877580.1.1750_U	FR877580	1	1750	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Amphidomataceae	Azadinium	Azadinium_poporum			1	2012-03-28 00:00:00	PLN	Azadinium cf. poporum HJ-2011 18S rRNA gene, ITS1, 5.8S rRNA gene,										01-juin-10		South Korea:Shiwha Bay		Potvin E	internal transcribed spacer 1, ITS1		Potvin,E., Jeong,H.J., Kang,N.S., Tillmann,U. and Krock,B.	J. Eukaryot. Microbiol. 59 (2), 145-156 (2012)							marine pelagic biome													
EU780634.1.1716_U	EU780634	1	1716	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Amphidomataceae	Azadinium	Azadinium_sp.					ENV	Uncultured eukaryote clone AMT15_33B_26 18S ribosomal RNA gene,					AMT15_33B_26		ocean water			24-oct.-04			37.83 S 1.23 E																	environmental			-37.83	1.23				
HQ324898.1.1777_U	HQ324898	1	1777	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Amphidomataceae	Azadinium	Azadinium_poporum			1	2011-05-19 00:00:00	PLN	Azadinium poporum isolate UTHC8 18S small subunit ribosomal RNA						UTHC8											Tillmann,U., Elbraechter,M., John,U. and Krock,B.	Eur. J. Phycol. (2011) In press							marine pelagic biome					isolate								
GQ914935.1.1499_U	GQ914935	1	1499	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Amphidomataceae	Azadinium	Azadinium_obesum			1	2011-01-20 00:00:00	PLN	Azadinium obesum strain 2E10 18S ribosomal RNA gene, partial			2.00E+10											Urban Tillmann			Tillmann,U., Elbraechter,M., John,U., Krock,B. and Cembella,A.	Phycologia 49 (2), 169-182 (2010)							marine pelagic biome					culture								
JQ247701.1.1792_U	JQ247701	1	1792	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Amphidomataceae	Azadinium	Azadinium_caudatum			1	2013-05-29 00:00:00	PLN	Azadinium caudatum var. caudatum isolate IFR1191 small subunit						IFR1191				15-Dec-2009		France: Concarneau Bay					Nezan,E., Tillmann,U., Bilien,G.L., Boulben,S., Cheze,K., Zentz,F.,	J. Phycol. 48 (4), 925-939 (2012)							marine pelagic biome					isolate	single cell isolation							
HQ324899.1.1740_U	HQ324899	1	1740	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Amphidomataceae	Azadinium	Azadinium_poporum			1	2011-05-19 00:00:00	PLN	Azadinium poporum isolate UTHD4 18S small subunit ribosomal RNA						UTHD4											Tillmann,U., Elbraechter,M., John,U. and Krock,B.	Eur. J. Phycol. (2011) In press							marine pelagic biome					isolate								
JX559885.1.1796_U	JX559885	1	1796	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Amphidomataceae	Azadinium	Azadinium_spinosum			1	2014-01-24 00:00:00	PLN	Azadinium spinosum small subunit ribosomal RNA gene, partial			SHETF6														Tillmann,U., Soehner,S., Nezan,E. and Krock,B.	Harmful Algae 20, 142-155 (2012)							marine pelagic biome					culture								
JX262491.1.1761_U	JX262491	1	1761	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Amphidomataceae	Azadinium	Azadinium_spinosum			1	2012-11-26 00:00:00	PLN	Azadinium spinosum 18S ribosomal RNA gene, partial sequence.			RCC2538														Orr,R.J., Murray,S.A., Stuken,A., Rhodes,L. and Jakobsen,K.S.	PLoS ONE 7 (11), E50004 (2012)							marine pelagic biome					culture								
