pr2_accession	genbank_accession	start	end	kingdom	supergroup	division	class	order	family	genus	species	chimera	chimera_remark	reference_sequence	gb_date	gb_locus	gb_definition	gb_organism	gb_taxonomy	gb_strain	gb_culture_collection	gb_clone	gb_isolate	gb_isolation_source	gb_specimen_voucher	gb_host	gb_collection_date	gb_environmental_sample	gb_country	gb_lat_lon	gb_collected_by	gb_note	gb_publication	gb_authors	gb_journal	eukref_publication	eukref_authors	eukref_journal	eukref_name	eukref_source	eukref_env_material	eukref_env_biome	eukref_biotic_relationship	eukref_specific_host	eukref_geo_loc_name	eukref_notes	pr2_sample_type	pr2_sample_method	pr2_ocean	pr2_latitude	pr2_longitude	pr2_sequence_origin	pr2_size_fraction	pr2_size_fraction_min	pr2_size_fraction_max
FJ971827.1.959_U	FJ971827	1	959	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.					ENV	Uncultured marine eukaryote clone Ar1663c53 18S ribosomal RNA gene,					Ar1663c53		"Canada Basin, Arctic Ocean at 70 m depth"""			20-Aug-2007			76.999 N 140.187 W																	environmental			76.999	-140.187				
ACSY01001905.540.2330_U	ACSY01001905	540	2330	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellida_X	Choanoflagellida_XX	Choanoflagellida_XXX	Choanoflagellida_XXXX	Choanoflagellida_XXXX_sp.																																												
HQ026766.1.1127_U	HQ026766	1	1127	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_H	Stephanoeca_Group_H	Stephanoeca_cauliculata					INV	Stephanoeca cauliculata 18S small subunit ribosomal RNA gene,																																						
DQ310306.1.1334_U	DQ310306	1	1334	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_H	Stephanoecidae_Group_H_X	Stephanoecidae_Group_H_X_sp.			1		ENV	Uncultured marine eukaryote clone FV36_CilF10 small subunit					FV36_CilF10		"super-sulfidic anoxic fjord water samples"""					Norway: Framvaren																		environmental								
GU969087.1.1029_U	GU969087	1	1029	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.					ENV	Uncultured eukaryote clone wlb10-t5-otu5 18S ribosomal RNA gene,					wlb10-t5-otu5		ice-covered lake					Antarctica																		environmental								
AY149896.1.1770_U	AY149896	1	1770	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Monosigidae_Group_A	Choanoeca	Choanoeca_perplexa			1		INV	Proterospongia choanojuncta 18S small subunit ribosomal RNA gene,			ATCC 50455																											culture								
GU825585.1.1064_U	GU825585	1	1064	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Monosigidae_Group_M	Monosigidae_Group_M_X	Monosigidae_Group_M_X_sp.					ENV	Uncultured eukaryote clone BCB5F13RJ1G04 18S ribosomal RNA gene,					BCB5F13RJ1G04		"anoxic water column sample, Cariaco Basin, Caribbean Sea"""																							environmental								
EF432531.1.1778_U	EF432531	1	1778	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.			1		INV	Choanoflagellida sp. Z2171C clone A1 18S ribosomal RNA gene,					A1																									environmental								
JQ956256.1.961_U	JQ956256	1	961	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.					ENV	Uncultured eukaryote clone AN0697_21L1F 18S ribosomal RNA gene,					AN0697_21L1F		"water sample taken from 10 m depth at station 334 from ArcticNet cruise, Baffin Bay"""			25-oct.-06		Canada: Arctic region	67.88 N 80.79 W		PCR_primers=fwd_name: nsf4/18, rev_name: nlr204/21															environmental			67.88	-80.79				
GU647175.1.1533_U	GU647175	1	1533	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Salpingoecidae_Group_C2	Salpingoecidae_Group_C2_X	Salpingoecidae_Group_C2_X_sp.					ENV	Uncultured freshwater eukaryote clone ML1_dino18S-15 18S small					ML1_dino18S-15		">5 micrometer fraction of surface water, Mirror Lake, June 1"""					USA: Connecticut, Storrs	41.80 N 72.24 W		"similar to Salpingoeca napiformis strain ATCC 50153 (INSD accession EU011929)"""															environmental			41.8	-72.24				
EF023626.250.2115_U	EF023626	250	2115	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Salpingoecidae_Group_C1	Salpingoecidae_Group_C1_X	Salpingoecidae_Group_C1_X_sp.			1		ENV	Eimeriidae environmental sample clone Amb_18S_870 18S ribosomal RNA					Amb_18S_870		"trembling aspen rhizosphere under ambient CO2 conditions"""																							environmental								
GU825238.1.1066_U	GU825238	1	1066	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.					ENV	Uncultured eukaryote clone BCI5F13RM3F11 18S ribosomal RNA gene,					BCI5F13RM3F11		"micro-oxic water column sample, Cariaco Basin, Caribbean Sea"""																							environmental								
HQ219439.1.1764_U	HQ219439	1	1764	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Monosigidae_Group_O	Monosigidae_Group_O_X	Monosigidae_Group_O_X_sp.					ENV	Uncultured choanoflagellate clone AY2009D17 18S ribosomal RNA gene,					AY2009D17		dimictic and eutrophic lake					France: Massif Central, Lake Aydat	45.65 N 2.98 E		"contains 18S ribosomal RNA, internal transcribed spacer 1, 5.8S ribosomal RNA, internal transcribed spacer 2, and 28S ribosomal RNA"""															environmental			45.65	2.98				
GU824604.1.1077_U	GU824604	1	1077	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.					ENV	Uncultured eukaryote clone BCI5F13RM1B10 18S ribosomal RNA gene,					BCI5F13RM1B10		"micro-oxic water column sample, Cariaco Basin, Caribbean Sea"""																							environmental								
GU969091.1.1052_U	GU969091	1	1052	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.					ENV	Uncultured eukaryote clone elb6-t3-otu4 18S ribosomal RNA gene,					elb6-t3-otu4		ice-covered lake					Antarctica																		environmental								
HQ222369.1.958_U	HQ222369	1	958	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_H	Stephanoecidae_Group_H_X	Stephanoecidae_Group_H_X_sp.					ENV	Uncultured choanoflagellate clone AN0680S22 18S ribosomal RNA gene,					AN0680S22		ocean water, 25 m depth			17-sept.-06		Canada	76.25 N 74.17 W		PCR_primers=fwd_name: nsf4/18, rev_name: eukr															environmental			76.25	-74.17				
EF196771.1.884_U	EF196771	1	884	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Choanoflagellatea_X	Choanoflagellatea_X_Group_L	Choanoflagellatea_X_Group_L_X	Choanoflagellatea_X_Group_L_X_sp.			1		ENV	Uncultured eukaryotic picoplankton clone BI42 18S ribosomal RNA					BI42		lake water					France: Alpes																		environmental								
EF526766.1.1343_U	EF526766	1	1343	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Monosigidae_Group_M	Monosigidae_Group_M_X	Monosigidae_Group_M_X_sp.					ENV	Uncultured marine eukaryote clone NIF_4A10 18S ribosomal RNA gene,					NIF_4A10		marine environment																							environmental								
HQ867396.1.868_U	HQ867396	1	868	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.					ENV	Uncultured eukaryote clone SHAC711 18S ribosomal RNA gene, partial					SHAC711		"Saanich Inlet, oxygenated marine water column, 10 m depth"""			14-nov.-06		Canada: Vancouver																		environmental								
L10824.1.1794_U	L10824	1	1794	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_H	Diaphanoeca	Diaphanoeca_grandis			1		INV	Diaphanoeca grandis 16S-like small subunit ribosomal RNA.																																						
HQ219358.1.1762_U	HQ219358	1	1762	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Monosigidae_Group_O	Monosigidae_Group_O_X	Monosigidae_Group_O_X_sp.					ENV	Uncultured choanoflagellate clone AY2009C28 18S ribosomal RNA gene,					AY2009C28		dimictic and eutrophic lake					France: Massif Central, Lake Aydat	45.65 N 2.98 E		"contains 18S ribosomal RNA, internal transcribed spacer 1, 5.8S ribosomal RNA, internal transcribed spacer 2, and 28S ribosomal RNA"""															environmental			45.65	2.98				
DQ310286.1.1333_U	DQ310286	1	1333	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_H	Stephanoecidae_Group_H_X	Stephanoecidae_Group_H_X_sp.			1		ENV	Uncultured marine eukaryote clone FV36_CilC10 small subunit					FV36_CilC10		"super-sulfidic anoxic fjord water samples"""					Norway: Framvaren																		environmental								
GU825182.1.1198_U	GU825182	1	1198	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_H	Stephanoecidae_Group_H_X	Stephanoecidae_Group_H_X_sp.					ENV	Uncultured eukaryote clone BCB5F14RJ1A09 18S ribosomal RNA gene,					BCB5F14RJ1A09		"anoxic water column sample, Cariaco Basin, Caribbean Sea"""																							environmental								
L10823.1.1780_U	L10823	1	1780	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Helgoeca	Helgoeca_nana			1		INV	Acanthocoepsis unguiculata 16S-like small subunit ribosomal RNA.																																						
KC487001.1.1628_U	KC487001	1	1628	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Monosigidae_Group_A	Monosiga	Monosiga_brevicollis					ENV	Uncultured choanoflagellate isolate LT37_N7 18S ribosomal RNA gene,							Lake Tyrrell					Australia: Victoria																		environmental								
JQ955927.1.963_U	JQ955927	1	963	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_H	Stephanoecidae_Group_H_X	Stephanoecidae_Group_H_X_sp.					ENV	Uncultured eukaryote clone AN0628L01 18S ribosomal RNA gene,					AN0628L01		"water sample taken from 80 m depth at station 129 from ArcticNet cruise, Baffin Bay"""			11-sept.-06		Canada: Arctic region	78.33 N 74.01 W		PCR_primers=fwd_name: nsf4/18, rev_name: eukr															environmental			78.33	-74.01				
GU824744.1.1065_U	GU824744	1	1065	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Monosigidae_Group_M	Monosigidae_Group_M_X	Monosigidae_Group_M_X_sp.					ENV	Uncultured eukaryote clone BCB5F13RJ4E11 18S ribosomal RNA gene,					BCB5F13RJ4E11		"anoxic water column sample, Cariaco Basin, Caribbean Sea"""																							environmental								
AF084231.1.1764_U	AF084231	1	1764	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellida_X	Choanoflagellida_XX	Clade-2	Desmarella	Desmarella_moniliformis			1		INV	Desmarella moniliformis 18S ribosomal RNA gene, partial sequence.																																						
EF526731.1.1554_U	EF526731	1	1554	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_I	Stephanoecidae_Group_I_X	Stephanoecidae_Group_I_X_sp.			1		ENV	Uncultured marine eukaryote clone NIF_2H2 18S ribosomal RNA gene,					NIF_2H2		marine environment																							environmental								
HQ026764.1.1101_U	HQ026764	1	1101	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Acanthocorbis	Acanthocorbis_unguiculata					INV	Acanthocorbis unguiculata 18S small subunit ribosomal RNA gene,																																						
AY642728.1.1288_U	AY642728	1	1288	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Salpingoecidae_Group_C1	Salpingoecidae_Group_C1_X	Salpingoecidae_Group_C1_X_sp.			1		ENV	Uncultured eukaryotic picoplankton clone PG5.16 18S ribosomal RNA					PG5.16							"France: Massif Central, Lake La Godivelle lac d'en haut"""																		environmental								
DQ310311.1.1313_U	DQ310311	1	1313	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Monosigidae_Group_A	Monosigidae_Group_A_X	Monosigidae_Group_A_X_sp.			1		ENV	Uncultured marine eukaryote clone FV36_CilF8 small subunit					FV36_CilF8		"super-sulfidic anoxic fjord water samples"""					Norway: Framvaren																		environmental								
FJ848457.1.1550_U	FJ848457	1	1550	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Choanoflagellatea_X	Choanoflagellatea_X_Group_P	Choanoflagellatea_X_Group_P_X	Choanoflagellatea_X_Group_P_X_sp.					ENV	Uncultured eukaryote clone DLN-J-10 small subunit ribosomal RNA					DLN-J-10		Gayal fecal sample					"China: Yunnan, Fugong, Yaping Gayal Breeding Farm"""																		environmental								
JF488791.1.925_U	JF488791	1	925	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.					INV	Eukaryote SCGC AAA071-I17 18S ribosomal RNA gene, partial sequence.							Gulf of Maine								single cell isolate (1 m depth)																							
EF526904.1.1327_U	EF526904	1	1327	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_I	Stephanoecidae_Group_I_X	Stephanoecidae_Group_I_X_sp.			1		ENV	Uncultured marine eukaryote clone SA1_4D9 18S ribosomal RNA gene,					SA1_4D9		marine environment																							environmental								
EF526879.1.1725_U	EF526879	1	1725	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_I	Stephanoecidae_Group_I_X	Stephanoecidae_Group_I_X_sp.			1		ENV	Uncultured marine eukaryote clone NA1_1A8 18S ribosomal RNA gene,					NA1_1A8		marine environment																							environmental								
DQ781337.1.846_U	DQ781337	1	846	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Craspedida	Monosigidae_Group_A	Monosigidae_Group_A_X	Monosigidae_Group_A_X_sp.			1		ENV	Uncultured marine eukaryote clone AD851 18S ribosomal RNA gene,					AD851		marine coastal waters																							environmental								
FJ848490.1.1550_U	FJ848490	1	1550	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellatea	Choanoflagellatea_X	Choanoflagellatea_X_Group_P	Choanoflagellatea_X_Group_P_X	Choanoflagellatea_X_Group_P_X_sp.					ENV	Uncultured eukaryote clone DLN-J-87 small subunit ribosomal RNA					DLN-J-87		Gayal fecal sample					"China: Yunnan, Fugong, Yaping Gayal Breeding Farm"""																		environmental								
GU067794.1.854_U	GU067794	1	854	Eukaryota	Opisthokonta	Choanoflagellida	Choanoflagellida_X	Choanoflagellida_XX	Choanoflagellida_XXX	Choanoflagellida_XXXX	Choanoflagellida_XXXX_sp.					ENV	Uncultured choanoflagellate clone ESS220206.015 18S ribosomal RNA					ESS220206.015		"lake water filtered through 3 um from lake Esch sur Sure, depth 0m"""			22-Feb-2006		Luxembourg			PCR_primers=fwd_name: Euk328, rev_name: Euk329															environmental								
